feature,mean_abs_shap,kind
ELU,0.5807341470381252,base
DOM+,0.513552250553486,base
RDOM+,0.39293635117350373,base
YCO/A,0.19296855216875555,base
YPC,0.15142464606025915,base
SpeedxBMI,0.14901799533650592,interaction
Draft Capital,0.1,base
