Player,Bias,DOM+,MTF/A,Draft Capital,Breakout Age,RDOM+,YPC,YCO/A,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_RB_Grade,Actual_RB_Grade,Error
Saquon Barkley,7.9035,0.3368,0.3765,3.4184,0.5571,0.7628,-0.0754,-0.1180,0.0654,5.2582,0.0654,13.2270,14.3800,-1.1530
Nick Chubb,7.9035,0.1941,-0.1340,1.8125,0.6058,-0.5380,0.3240,-0.4038,-0.0408,1.8606,-0.0408,9.7233,10.6700,-0.9467
Devin Singletary,7.9035,0.3636,0.4186,1.1256,0.6255,-0.1774,0.1393,-0.0864,-0.1110,2.4088,-0.1110,10.2013,9.3300,0.8713
Kaleb Johnson,7.9035,0.7072,0.3815,1.3442,0.6896,0.3266,0.2249,0.4980,-0.0230,4.1720,-0.0230,12.0525,11.4700,0.5825
Tyler Badie,7.9035,1.1086,-0.3851,-1.5044,0.4961,0.1985,-0.1151,-0.3960,0.1607,-0.5974,0.1607,7.4668,6.9400,0.5268
Eno Benjamin,7.9035,0.6394,0.4861,-1.9999,0.5767,0.3426,-0.1021,-0.3103,-0.0437,-0.3675,-0.0437,7.4924,6.6100,0.8824
Brashard Smith,7.9035,0.4050,-0.0902,-1.9193,-0.6025,0.3491,-0.0461,-0.4225,0.0307,-2.3265,0.0307,5.6075,5.8100,-0.2025
Kenny McIntosh,7.9035,-0.3076,0.7203,-1.9009,-0.6572,0.2569,-0.0495,-0.3475,-0.0642,-2.2855,-0.0642,5.5539,6.7100,-1.1561
David Cobb,7.9035,0.8683,-0.6631,-0.8877,0.0202,0.4145,-0.6385,-0.6616,-0.2254,-1.5479,-0.2254,6.1301,5.8600,0.2701
De'Von Achane,7.9035,0.5498,0.3877,1.3552,-0.0998,0.5486,0.1442,0.2177,0.2920,3.1034,0.2920,11.2989,11.2200,0.0789
David Montgomery,7.9035,0.2733,0.7669,1.2223,-0.0311,-0.2057,-0.6538,-0.1382,-0.2296,1.2337,-0.2296,8.9076,9.6100,-0.7024
Cam Skattebo,7.9035,0.7925,0.4615,-0.4973,0.5603,0.6185,-0.0868,0.4747,-0.1826,2.3234,-0.1826,10.0443,9.9300,0.1143
