feature,mean_abs_shap,kind
DOM+,0.4673188865238455,base
RDOM+,0.3487012210802305,base
ELU,0.34408833841994063,base
MTF/A,0.22754972944702284,base
YPC,0.21757727406862834,base
YCO/A,0.13864795983407877,base
Breakout Age,0.1,base
Draft Capital,0.1,base
SpeedxBMI,0.08482760067540944,interaction
