feature,mean_abs_shap,kind
MTF/A,0.4497235473551118,base
DOM+,0.42992188692743255,base
RDOM+,0.38004499756725074,base
YCO/A,0.2976161742302451,base
YPC,0.21985849678298228,base
Break%,0.10581343957031719,base
Draft Capital,0.1,base
Breakout Age,0.1,base
SpeedxBMI,0.08379533491159594,interaction
YPR,0.05151061480131809,base
