Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards
1.0,Chance Kretschmer,Nevada,WAC,11.0,302.0,1732.0,5.7,15.0,157.5,10.0,55.0,5.5,0.0,5.0,312.0,1787.0,5.7,15.0,
2.0,Luke Staley,BYU,MWC,11.0,196.0,1596.0,8.1,24.0,145.1,32.0,334.0,10.4,4.0,30.4,228.0,1930.0,8.5,28.0,AA
3.0,William Green,Boston College,Big East,10.0,265.0,1559.0,5.9,15.0,155.9,23.0,260.0,11.3,2.0,26.0,288.0,1819.0,6.3,17.0,AA
4.0,Larry Ned,San Diego State,MWC,11.0,311.0,1549.0,5.0,15.0,140.8,16.0,138.0,8.6,0.0,12.5,327.0,1687.0,5.2,15.0,
5.0,Anthony Davis,Wisconsin,Big Ten,11.0,291.0,1466.0,5.0,11.0,133.3,0.0,0.0,,0.0,0.0,291.0,1466.0,5.0,11.0,
6.0,Travis Stephens,Tennessee,SEC,12.0,291.0,1464.0,5.0,10.0,122.0,19.0,169.0,8.9,1.0,14.1,310.0,1633.0,5.3,11.0,
7.0,Leonard Henry,East Carolina,CUSA,11.0,184.0,1432.0,7.8,16.0,130.2,26.0,210.0,8.1,2.0,19.1,210.0,1642.0,7.8,18.0,
8.0,Chester Taylor,Toledo,MAC,11.0,268.0,1430.0,5.3,20.0,130.0,26.0,242.0,9.3,3.0,22.0,294.0,1672.0,5.7,23.0,
9.0,Mewelde Moore,Tulane,CUSA,12.0,262.0,1421.0,5.4,8.0,118.4,65.0,756.0,11.6,7.0,63.0,327.0,2177.0,6.7,15.0,
10.0,Levron Williams,Indiana,Big Ten,11.0,212.0,1401.0,6.6,17.0,127.4,26.0,289.0,11.1,2.0,26.3,238.0,1690.0,7.1,19.0,
11.0,Dameon Hunter,Utah,MWC,11.0,257.0,1396.0,5.4,9.0,126.9,6.0,70.0,11.7,0.0,6.4,263.0,1466.0,5.6,9.0,
12.0,Emmett White,Utah State,Ind,11.0,250.0,1361.0,5.4,13.0,123.7,48.0,408.0,8.5,3.0,37.1,298.0,1769.0,5.9,16.0,
13.0,Dahrran Diedrick,Nebraska,Big 12,11.0,233.0,1299.0,5.6,15.0,118.1,1.0,-5.0,-5.0,0.0,-0.5,234.0,1294.0,5.5,15.0,
14.0,Avon Cobourne,West Virginia,Big East,11.0,267.0,1298.0,4.9,9.0,118.0,23.0,124.0,5.4,0.0,11.3,290.0,1422.0,4.9,9.0,
15.0,Josh Scobey,Kansas State,Big 12,11.0,240.0,1263.0,5.3,15.0,114.8,9.0,52.0,5.8,0.0,4.7,249.0,1315.0,5.3,15.0,
16.0,Jonathan Wells,Ohio State,Big Ten,11.0,232.0,1257.0,5.4,15.0,114.3,11.0,117.0,10.6,0.0,10.6,243.0,1374.0,5.7,15.0,
17.0,Marcus Merriweather,Ball State,MAC,10.0,268.0,1244.0,4.6,12.0,124.4,4.0,16.0,4.0,1.0,1.6,272.0,1260.0,4.6,13.0,
18.0,Bruce Perry,Maryland,ACC,11.0,219.0,1242.0,5.7,10.0,112.9,40.0,359.0,9.0,2.0,32.6,259.0,1601.0,6.2,12.0,
19.0,T.J. Duckett,Michigan State,Big Ten,11.0,236.0,1236.0,5.2,10.0,112.4,12.0,80.0,6.7,1.0,7.3,248.0,1316.0,5.3,11.0,
20.0,Clarence Farmer,Arizona,Pac-10,11.0,209.0,1229.0,5.9,10.0,111.7,4.0,42.0,10.5,1.0,3.8,213.0,1271.0,6.0,11.0,
21.0,Keith Boyea,Air Force,MWC,12.0,230.0,1216.0,5.3,18.0,101.3,1.0,24.0,24.0,0.0,2.0,231.0,1240.0,5.4,18.0,
22.0,Brock Forsey,Boise State,WAC,12.0,246.0,1207.0,4.9,13.0,100.6,35.0,369.0,10.5,3.0,30.8,281.0,1576.0,5.6,16.0,
23.0,Clinton Portis,Miami (FL),Big East,11.0,220.0,1200.0,5.5,10.0,109.1,12.0,125.0,10.4,1.0,11.4,232.0,1325.0,5.7,11.0,
24.0,Terrence Jackson,Central Michigan,MAC,11.0,252.0,1194.0,4.7,10.0,108.5,3.0,53.0,17.7,0.0,4.8,255.0,1247.0,4.9,10.0,
25.0,James Mungro,Syracuse,Big East,12.0,248.0,1170.0,4.7,14.0,97.5,17.0,94.0,5.5,1.0,7.8,265.0,1264.0,4.8,15.0,
26.0,Ennis Haywood,Iowa State,Big 12,11.0,258.0,1169.0,4.5,14.0,106.3,20.0,138.0,6.9,0.0,12.5,278.0,1307.0,4.7,14.0,
27.0,Joe Burns,Georgia Tech,ACC,12.0,282.0,1165.0,4.1,14.0,97.1,28.0,249.0,8.9,1.0,20.8,310.0,1414.0,4.6,15.0,
28.0,Dwone Hicks,Middle Tennessee State,Sun Belt,11.0,191.0,1143.0,6.0,20.0,103.9,18.0,230.0,12.8,4.0,20.9,209.0,1373.0,6.6,24.0,
29.0,Kevin Galbreath,North Texas,Sun Belt,11.0,264.0,1119.0,4.2,4.0,101.7,3.0,12.0,4.0,0.0,1.1,267.0,1131.0,4.2,4.0,
30.0,Eric Crouch,Nebraska,Big 12,12.0,203.0,1115.0,5.5,18.0,92.9,1.0,63.0,63.0,1.0,5.3,204.0,1178.0,5.8,19.0,"H-1,Camp"
31.0,Deshaun Foster,UCLA,Pac-10,8.0,216.0,1109.0,5.1,12.0,138.6,9.0,129.0,14.3,1.0,16.1,225.0,1238.0,5.5,13.0,
32.0,Joe Haro,Nevada-Las Vegas,MWC,11.0,218.0,1107.0,5.1,10.0,100.6,0.0,0.0,,0.0,0.0,218.0,1107.0,5.1,10.0,
33.0,Thomas Hammock,Northern Illinois,MAC,11.0,268.0,1096.0,4.1,7.0,99.6,15.0,70.0,4.7,0.0,6.4,283.0,1166.0,4.1,7.0,
34.0,Tellis Redmon,Minnesota,Big Ten,11.0,185.0,1091.0,5.9,6.0,99.2,15.0,83.0,5.5,0.0,7.5,200.0,1174.0,5.9,6.0,
35.0,Ladell Betts,Iowa,Big Ten,11.0,220.0,1056.0,4.8,10.0,96.0,14.0,127.0,9.1,1.0,11.5,234.0,1183.0,5.1,11.0,
