position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
TE,21,20,15,100,5,GB,0.4002115113351248,0.8335138821338597,18.575982695711186,22.198316497618457,12,DOM+|Draft Capital|Wide%|Y/RR|ELU|Y/REC|Slot%|REC%|Breakout Age|FUM,SpeedxBMI|Wide%xSlot%,0.6054156068015972
TE,21,20,15,100,19,GB,0.4362977141268846,0.8078811450993026,19.438922642495474,23.846026409893536,14,DOM+|Draft Capital|ELU|MTF|FUM|Drop%|Wide%|Y/RR|aDOT|YAC/R|Y/REC|REC%|Slot%,SpeedxBMI,-0.5756454697219295
TE,21,20,15,100,6,GB,0.36361367968612274,0.8065986325875701,18.380264526751606,23.9254875254109,6,DOM+|Draft Capital|Y/RR|MTF,SpeedxBMI|Wide%xSlot%,-3.656251351208405
TE,21,20,15,100,8,GB,0.42910494429390084,0.7977602909717808,20.72416283481417,24.46607156709516,13,DOM+|Draft Capital|Y/REC|REC%|Breakout Age|CC%|Wide%|MTF|Y/RR|YAC/R|Slot%,SpeedxBMI|Wide%xSlot%,-5.474164560705107
TE,21,20,15,100,16,GB,0.44058215373945725,0.7939953716823003,20.245023620478264,24.692753147049757,16,DOM+|Draft Capital|Y/REC|Slot%|MTF|ELU|Breakout Age|Drop%|CC%|Y/RR|FUM|Wide%|REC%|YAC/R,SpeedxBMI|Wide%xSlot%,3.3810018128940182
TE,21,20,15,100,18,GB,0.4389602491763807,0.7921590584914799,20.48532514240411,24.802563856042134,14,DOM+|Draft Capital|Slot%|FUM|CC%|Breakout Age|REC%|Wide%|ELU|YAC/R|Y/RR|Y/REC,SpeedxBMI|Wide%xSlot%,0.025504785800157304
TE,21,20,15,100,4,GB,0.26335584181673777,0.7825425795491215,20.019840435001086,25.3698641625138,7,DOM+|Draft Capital|Slot%|Drop%|Y/REC,SpeedxBMI|Wide%xSlot%,0.24339614823223438
TE,21,20,15,100,15,GB,0.3452766122020131,0.7634706225764281,20.834714485200994,26.459008769269797,11,DOM+|Draft Capital|ELU|Slot%|YAC/R|Y/REC|Drop%|Wide%|Breakout Age|REC%,SpeedxBMI,-1.635119674919436
TE,21,20,15,100,2,GB,0.3970650079497567,0.7556187006458264,22.220606385744055,26.894595122011978,12,DOM+|Draft Capital|REC%|CC%|Breakout Age|Slot%|YAC/R|FUM|MTF|Y/REC,SpeedxBMI|Wide%xSlot%,4.238323166923746
TE,21,20,15,100,7,GB,0.406215873591155,0.7306221697717064,22.419775071891216,28.23657070817678,7,DOM+|Draft Capital|YAC/R|ELU|Breakout Age|Y/RR,SpeedxBMI,-0.49877740077769983
TE,21,20,15,100,9,GB,0.33054424845082997,0.6757338831891333,25.01115802151042,30.98002838131471,10,DOM+|Draft Capital|Drop%|Wide%|REC%|ELU|YAC/R|Breakout Age,SpeedxBMI|Wide%xSlot%,-0.04609602925865859
TE,21,20,15,100,3,GB,0.40276036722051833,0.6676754294223995,24.716243318812694,31.362613933125232,15,DOM+|Draft Capital|Y/REC|Breakout Age|aDOT|YAC/R|Wide%|MTF|ELU|Drop%|FUM|Y/RR|CC%,SpeedxBMI|Wide%xSlot%,2.034081827779809
TE,21,20,15,100,17,GB,0.3015521596606664,0.6511671603584253,25.809048419889415,32.132144219784216,7,DOM+|Draft Capital|aDOT|MTF|YAC/R|Slot%,SpeedxBMI,-15.204824778258219
TE,21,20,15,100,13,GB,0.1543374825293047,0.6356359389876871,26.503033871653518,32.83967064287503,7,DOM+|Draft Capital|Slot%|REC%|Drop%,SpeedxBMI|Wide%xSlot%,-8.131197412564704
TE,21,20,15,100,12,GB,0.16837298942503037,0.6294360855898176,25.7011471427542,33.11788460560124,5,DOM+|Draft Capital|aDOT|Drop%,SpeedxBMI,-6.904540551113045
