feature,shap_mean_abs,kind
Y/RR,15.324240067782547,base
Y/REC,6.399977489210797,base
DOM+,5.422315280952362,base
YAC/R,4.061827985554145,base
REC%,4.0052406785864,base
SpeedxBMI,3.928794544044002,interaction
aDOT,3.0446440910484682,base
Drop%,1.8726060929458561,base
Slot%,1.8570553211179872,base
ELU,1.762256057426846,base
Wide%xSlot%,1.6141416671780278,interaction
CC%,1.490688601074699,base
Wide%,1.3550615104832486,base
FUM,0.36035418955581544,base
Draft Capital,0.1,base
Breakout Age,0.1,base
