player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A'Montae Spivey,Arkansas,2019,SEC,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0.0,0.0,81.6
A.D. Miller*,Oklahoma,2019,BIG 12,118.0,0.0,0.0,0.0,0.0,0.0,1.42,1.35,0.0,0.0,0.0,0.0,
A.J. Carter*,Arizona State,2019,PAC 12,25.0,0.0,50.0,0.0,0.0,0.0,0.39,0.37,1.56,1.48,0.0,0.0,25.6
A.J. Davis Jr.*,Pitt,2019,ACC,269.0,0.0,530.0,4.0,0.0,0.0,3.95,3.75,35.28,33.52,0.0,0.0,
A.J. Davis*,Pitt,2019,ACC,269.0,0.0,530.0,4.0,0.0,0.0,3.95,3.75,35.28,33.52,0.0,0.0,
A.J. Green*,Oklahoma State,2019,BIG 12,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,
A.J. Taylor*,Wisconsin,2019,BIG TEN,267.0,2.0,34.0,0.0,0.0,0.0,10.32,10.32,0.52,0.52,0.0,0.0,51.7
A.J. Turner,South Carolina,2019,SEC,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.0,
A.T. Perry*,Wake Forest,2019,ACC,62.0,1.0,0.0,0.0,0.0,0.0,2.44,2.32,0.0,0.0,0.0,0.0,
AJ Dillon*,Boston College,2019,ACC,195.0,1.0,1685.0,14.0,0.0,0.0,6.76,6.42,51.43,48.86,0.0,0.0,88.6
AJ Howard Jr.,Army,2019,INDEPENDENT,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AJ Lewis,Troy,2019,SUN BELT,73.0,3.0,0.0,0.0,0.0,0.0,5.97,4.54,0.0,0.0,0.0,0.0,
AJ Mayer*,Miami (OH),2019,MAC,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.21,0.0,0.0,
Aaron Allen*,Louisiana Tech,2019,CUSA,0.0,0.0,3.0,0.0,446.0,3.0,0.0,0.0,0.07,0.05,13.53,9.47,
Aaron Bedgood,Coastal Carolina,2019,SUN BELT,76.0,1.0,60.0,0.0,0.0,0.0,3.98,3.02,1.28,0.97,0.0,0.0,
Aaron Fuller*,Washington,2019,PAC 12,702.0,6.0,0.0,0.0,0.0,0.0,23.59,22.41,0.0,0.0,0.0,0.0,
Aaron Hackett,Syracuse,2019,ACC,205.0,6.0,3.0,0.0,0.0,0.0,16.59,15.76,0.08,0.08,0.0,0.0,20.8
Aaron Jarman*,Temple,2019,AMERICAN,20.0,2.0,0.0,0.0,0.0,0.0,4.15,3.53,0.0,0.0,0.0,0.0,
Aaron Mathews*,Pitt,2019,ACC,220.0,1.0,-4.0,0.0,3.0,1.0,6.17,5.86,-0.13,-0.12,2.99,2.84,
Aaron McAllister*,Charlotte,2019,CUSA,69.0,2.0,380.0,5.0,0.0,0.0,5.42,3.79,16.79,11.75,0.0,0.0,42.6
Aaron Molina,New Mexico,2019,MWC,245.0,3.0,0.0,0.0,0.0,0.0,16.77,12.75,0.0,0.0,0.0,0.0,
Aaron Moore,Old Dominion,2019,CUSA,389.0,3.0,0.0,0.0,0.0,0.0,39.19,27.43,0.0,0.0,0.0,0.0,
Aaron Young,Duke,2019,ACC,367.0,3.0,0.0,0.0,0.0,0.0,16.86,16.02,0.0,0.0,0.0,0.0,
Aaron Young,Rutgers,2019,BIG TEN,113.0,0.0,153.0,0.0,0.0,0.0,3.38,3.38,4.75,4.75,0.0,0.0,50.5
Abdul Adams,Syracuse,2019,ACC,141.0,0.0,336.0,3.0,0.0,0.0,2.44,2.32,18.47,17.55,0.0,0.0,51.1
Abram Smith*,Baylor,2019,BIG 12,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,2.18,2.07,0.0,0.0,375.0
Adam Barry*,Temple,2019,AMERICAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Billard,Massachusetts,2019,INDEPENDENT,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Dulka*,Kent State,2019,MAC,114.0,2.0,0.0,0.0,0.0,0.0,6.17,4.32,0.0,0.0,0.0,0.0,
Adam Jones*,Central Michigan,2019,MAC,8.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.0,0.0,0.0,0.0,
Adam Krumholz*,Wisconsin,2019,BIG TEN,20.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,
Adam Luehrman*,Ohio,2019,MAC,42.0,0.0,0.0,0.0,0.0,0.0,0.73,0.51,0.0,0.0,0.0,0.0,
Adam Prentice,Colorado State,2019,MWC,44.0,0.0,1.0,0.0,0.0,0.0,0.6,0.46,0.03,0.02,0.0,0.0,
Adam Williams*,Memphis,2019,AMERICAN,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.35,0.3,
Adarius Dent*,Florida State,2019,ACC,-2.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,0.0,0.0,0.0,0.0,
Adonicas Sanders,Georgia Tech,2019,ACC,249.0,0.0,0.0,0.0,0.0,0.0,7.75,7.36,0.0,0.0,0.0,0.0,
Adrian Hardy*,Louisiana Tech,2019,CUSA,534.0,1.0,0.0,0.0,0.0,0.0,10.03,7.02,0.0,0.0,0.0,0.0,
Adrian Killins*,UCF,2019,AMERICAN,120.0,1.0,629.0,7.0,0.0,0.0,2.85,2.42,21.05,17.89,0.0,0.0,
Adrian Martinez,Nebraska,2019,BIG TEN,0.0,0.0,626.0,7.0,1956.0,10.0,0.0,0.0,25.72,25.72,80.0,80.0,37.3
Ahmad Wagner*,Kentucky,2019,SEC,254.0,2.0,0.0,0.0,0.0,0.0,19.7,19.7,0.0,0.0,0.0,0.0,
Ahmarean Brown,Georgia Tech,2019,ACC,396.0,7.0,2.0,0.0,0.0,0.0,37.32,35.45,0.05,0.05,0.0,0.0,
Ahmari Davis,New Mexico,2019,MWC,63.0,0.0,832.0,7.0,0.0,0.0,1.35,1.03,34.38,26.13,0.0,0.0,63.7
Ahrod Lloyd*,Indiana,2019,BIG TEN,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0
Aidan O'Connell,Purdue,2019,BIG TEN,0.0,0.0,-9.0,0.0,1101.0,8.0,0.0,0.0,-0.45,-0.45,28.6,28.6,0.0
Aiden Smith,Northwestern,2019,BIG TEN,0.0,0.0,211.0,1.0,760.0,3.0,0.0,0.0,7.82,7.82,52.07,52.07,
Ainias Smith*,Texas A&M,2019,SEC,248.0,3.0,54.0,0.0,0.0,0.0,10.87,10.87,1.3,1.3,0.0,0.0,144.0
Ajani Carter*,Utah State,2019,MWC,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.11,0.0,0.0,0.0,0.0,
Akeem Hayes*,Kentucky,2019,SEC,5.0,0.0,2.0,0.0,0.0,0.0,0.17,0.17,0.03,0.03,0.0,0.0,0.0
Akilian Butler*,Boise State,2019,MWC,316.0,2.0,54.0,1.0,0.0,0.0,7.54,5.73,3.0,2.28,0.0,0.0,33.3
Al'Dontre Davis,Texas Christian,2019,BIG 12,22.0,1.0,0.0,0.0,0.0,0.0,3.78,3.59,0.0,0.0,0.0,0.0,
Al'Vonte Woodard*,Texas,2019,BIG 12,28.0,0.0,0.0,0.0,0.0,0.0,0.37,0.35,0.0,0.0,0.0,0.0,
Alan Bowman,Texas Tech,2019,BIG 12,0.0,0.0,14.0,1.0,1020.0,6.0,0.0,0.0,2.89,2.75,25.59,24.31,0.0
Alan Busey,UTEP,2019,CUSA,239.0,1.0,0.0,0.0,0.0,0.0,10.77,7.54,0.0,0.0,0.0,0.0,
Alante Thomas*,Michigan State,2019,BIG TEN,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.2,4.2,0.0,0.0,
Albert Okwuegbunam,Missouri,2019,SEC,306.0,6.0,0.0,0.0,0.0,0.0,23.38,23.38,0.0,0.0,0.0,0.0,
Alec Burton*,Ohio,2019,MAC,10.0,0.0,0.0,0.0,0.0,0.0,0.17,0.12,0.0,0.0,0.0,0.0,
Alec Hallman*,Florida International,2019,CUSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alec Pierce*,Cincinnati,2019,AMERICAN,652.0,2.0,0.0,0.0,0.0,0.0,18.04,15.33,0.0,0.0,0.0,0.0,
Alec Sinkfield,West Virginia,2019,BIG 12,18.0,0.0,41.0,0.0,0.0,0.0,0.3,0.28,2.33,2.21,0.0,0.0,
Alec Wyble-Meza*,BYU,2019,INDEPENDENT,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aleva Hifo*,BYU,2019,INDEPENDENT,483.0,3.0,104.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alex Allen*,Louisiana,2019,SUN BELT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alex Delton,Texas Christian,2019,BIG 12,0.0,0.0,100.0,0.0,318.0,0.0,0.0,0.0,2.04,1.94,6.51,6.18,
Alex Fontenot,Colorado,2019,PAC 12,122.0,0.0,874.0,5.0,0.0,0.0,2.13,2.02,42.08,39.98,0.0,0.0,61.1
Alex Harris*,UCF,2019,AMERICAN,44.0,1.0,-5.0,0.0,0.0,0.0,1.92,1.63,-0.09,-0.08,0.0,0.0,
Alex Hornibrook*,Florida State,2019,ACC,6.0,0.0,-71.0,0.0,986.0,7.0,0.09,0.09,-1.94,-1.84,28.75,27.31,10.0
Alex Mussat*,Western Michigan,2019,MAC,-2.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.02,0.0,0.0,0.0,0.0,
Alex Netherda*,California,2019,PAC 12,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.44,0.42,0.0,0.0,
Alex Thomson*,Marshall,2019,CUSA,0.0,0.0,22.0,0.0,123.0,1.0,0.0,0.0,0.44,0.31,5.49,3.84,138.9
Alexander Horvath,Purdue,2019,BIG TEN,142.0,1.0,377.0,2.0,0.0,0.0,3.63,3.63,29.92,29.92,0.0,0.0,
Alexy Jean-Baptiste*,Florida International,2019,CUSA,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,
Alfred Armour,Purdue,2019,BIG TEN,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,66.7
Ali Jennings,West Virginia,2019,BIG 12,192.0,1.0,0.0,0.0,0.0,0.0,5.6,5.32,0.0,0.0,0.0,0.0,
Ali'i Niumatalolo*,Utah,2019,PAC 12,10.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.0,0.0,0.0,
Allan Walters,Vanderbilt,2019,SEC,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.87,0.87,
Allen Dailey Jr.*,Kentucky,2019,SEC,75.0,0.0,0.0,0.0,0.0,0.0,2.54,2.54,0.0,0.0,0.0,0.0,
Alphonzo Andrews Jr.*,Wyoming,2019,MWC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0
Amad Anderson Jr.,Purdue,2019,BIG TEN,343.0,3.0,0.0,0.0,0.0,0.0,9.78,9.78,0.0,0.0,0.0,0.0,
Amare Jones*,Tulane,2019,AMERICAN,367.0,2.0,371.0,4.0,27.0,0.0,12.11,10.29,11.89,10.11,0.5,0.42,100.0
Amari Johnson*,UCF,2019,AMERICAN,67.0,1.0,0.0,0.0,0.0,0.0,2.2,1.87,0.0,0.0,0.0,0.0,
