player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,Comp%1,ADJ%1,BTT%1,TWP%1,DAA1,YPA1,EPA/P1,aYPTPA1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,Comp%2,ADJ%2,BTT%2,TWP%2,DAA2,YPA2,EPA/P2,aYPTPA2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,Comp%3,ADJ%3,BTT%3,TWP%3,DAA3,YPA3,EPA/P3,aYPTPA3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,Comp%4,ADJ%4,BTT%4,TWP%4,DAA4,YPA4,EPA/P4,aYPTPA4,birthday_parsed,birthdate_source_url
Andy Dalton,QB,2.0,1987-10-29,19.84,2007.0,19.84,0.005,0.004,0.811,0.617,0.0,0.0,,,,,,,,,,,,2007.0,19.84,0.233,0.177,0.811,0.617,0.0,0.0,,,,,,,,,,,,2008.0,20.84,0.368,0.28,0.822,0.624,0.0,0.0,,,,,,,,,,,,2009.0,21.84,0.153,0.116,0.967,0.735,0.0,0.0,,,,,,,,,,,1987-10-29,https://www.pro-football-reference.com/players/D/DaltAn00.htm
Andy Hall,QB,6.0,1949-01-17,,2000.0,51.62,0.028,0.027,0.006,0.006,0.0,0.0,,,,,,,,,,,,2001.0,52.62,0.007,0.007,0.065,0.062,0.0,0.0,,,,,,,,,,,,2003.0,54.62,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2004.0,55.62,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1949-01-17,https://en.wikipedia.org/wiki/Andy_Kaufman
Anthony Richardson,QB,1.0,2002-05-22,20.28,2020.0,18.28,0.007,0.007,0.014,0.014,0.0,0.0,,,,,,,,,,,,2021.0,19.28,0.118,0.118,0.195,0.195,0.0,0.0,,,,,,,,,,,,2022.0,20.28,0.362,0.362,0.91,0.91,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-05-22,https://www.pro-football-reference.com/players/R/RichAn03.htm
B.J. Coleman,QB,7.0,1988-09-16,,2008.0,19.96,0.005,0.005,0.006,0.006,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988-09-16,https://en.wikipedia.org/wiki/B._J._Coleman
B.J. Daniels,QB,7.0,1988-10-24,,2008.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2009.0,20.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2010.0,21.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2011.0,22.85,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1988-10-24,https://www.pro-football-reference.com/players/D/DaniB.00.htm
B.J. Symons,QB,7.0,1980-11-19,,2000.0,19.78,0.002,0.002,0.008,0.007,0.0,0.0,,,,,,,,,,,,2001.0,20.78,0.021,0.02,0.059,0.056,0.0,0.0,,,,,,,,,,,,2002.0,21.78,0.002,0.002,0.08,0.076,0.0,0.0,,,,,,,,,,,,2002.0,21.78,0.003,0.003,0.08,0.076,0.0,0.0,,,,,,,,,,,1980-11-19,https://en.wikipedia.org/wiki/B._J._Symons
Bailey Zappe,QB,4.0,1999-04-26,22.35,2021.0,22.35,0.025,0.018,0.983,0.688,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-04-26,https://www.pro-football-reference.com/players/Z/ZappBa00.htm
Baker Mayfield,QB,1.0,1995-04-14,20.38,2013.0,18.38,0.061,0.058,0.398,0.378,0.0,0.0,,,,,,,,,,,,2015.0,20.38,0.143,0.136,0.935,0.889,0.0,0.0,,,,,,,,,,,,2016.0,21.39,0.091,0.087,0.945,0.897,0.0,0.0,,,,,,,,,,,,2017.0,22.38,0.011,0.01,0.914,0.868,0.0,0.0,,,,,,,,,,,1995-04-14,https://www.pro-football-reference.com/players/M/MayfBa00.htm
Ben DiNucci,QB,7.0,1996-11-24,,2016.0,19.77,0.003,0.003,0.021,0.02,0.0,0.0,,,,,,,,,,,,2017.0,20.77,0.066,0.062,0.417,0.396,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-11-24,https://www.pro-football-reference.com/players/D/DiNuBe00.htm
Ben Roethlisberger,QB,1.0,1982-03-02,19.5,2001.0,19.5,0.09,0.063,0.987,0.691,0.0,0.0,,,,,,,,,,,,2002.0,20.5,0.012,0.008,0.926,0.648,0.0,0.0,,,,,,,,,,,,2003.0,21.5,0.051,0.036,0.957,0.67,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982-03-02,https://www.pro-football-reference.com/players/R/RoetBe00.htm
Blaine Gabbert,QB,1.0,1989-10-15,19.88,2008.0,18.88,0.002,0.002,0.005,0.004,0.0,0.0,,,,,,,,,,,,2009.0,19.88,0.085,0.081,0.946,0.898,0.0,0.0,,,,,,,,,,,,2009.0,19.88,-0.001,-0.001,0.946,0.898,0.0,0.0,,,,,,,,,,,,2010.0,20.88,0.182,0.173,0.954,0.907,0.0,0.0,,,,,,,,,,,1989-10-15,https://www.pro-football-reference.com/players/G/GabbBl00.htm
