player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A.D. Miller*,Oklahoma,2016,BIG 12,145.0,2.0,0.0,0.0,0.0,0.0,4.08,3.88,0.0,0.0,0.0,0.0,
A.J. Alexander*,Ohio State,2016,BIG TEN,27.0,0.0,0.0,0.0,0.0,0.0,0.49,0.49,0.0,0.0,0.0,0.0,
A.J. Branisel,Florida International,2016,CUSA,163.0,4.0,0.0,0.0,0.0,0.0,13.52,9.46,0.0,0.0,0.0,0.0,
A.J. Brown,Ole Miss,2016,SEC,412.0,2.0,0.0,0.0,0.0,0.0,9.15,9.15,0.0,0.0,0.0,0.0,
A.J. Cole III*,North Carolina State,2016,ACC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,
A.J. Coney,Akron,2016,MAC,173.0,1.0,0.0,0.0,0.0,0.0,4.82,3.37,0.0,0.0,0.0,0.0,
A.J. Krawczyk,Texas State,2016,SUN BELT,-3.0,0.0,-6.0,0.0,0.0,0.0,-0.06,-0.05,-0.3,-0.23,0.0,0.0,0.0
A.J. Ouellette*,Ohio,2016,MAC,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.96,0.67,0.0,0.0,366.7
A.J. Richardson*,Boise State,2016,MWC,42.0,1.0,0.0,0.0,0.0,0.0,2.33,1.77,0.0,0.0,0.0,0.0,
A.J. Taylor*,Wisconsin,2016,BIG TEN,53.0,0.0,19.0,0.0,0.0,0.0,1.06,1.06,0.33,0.33,0.0,0.0,267.9
A.J. Turner*,South Carolina,2016,SEC,143.0,1.0,497.0,3.0,0.0,0.0,6.75,6.75,21.72,21.72,0.0,0.0,
Aaron Duckworth*,Idaho,2016,SUN BELT,60.0,1.0,672.0,5.0,0.0,0.0,3.56,2.71,27.91,21.21,0.0,0.0,39.7
Aaron Fuller*,Washington,2016,PAC 12,184.0,2.0,4.0,0.0,0.0,0.0,4.67,4.44,0.07,0.07,0.0,0.0,5.3
Aaron Hepp,Ball State,2016,MAC,164.0,1.0,0.0,0.0,0.0,0.0,6.55,4.58,0.0,0.0,0.0,0.0,
Aaron Jones,UTEP,2016,CUSA,233.0,3.0,1773.0,17.0,3.0,1.0,12.43,8.7,82.32,57.62,2.45,1.72,
Aaron Mathews*,Pitt,2016,ACC,51.0,0.0,0.0,0.0,0.0,0.0,0.88,0.84,0.0,0.0,0.0,0.0,
Aaron McLean,Connecticut,2016,AMERICAN,40.0,0.0,0.0,0.0,0.0,0.0,0.82,0.7,0.0,0.0,0.0,0.0,
Aaron Peck,Fresno State,2016,MWC,630.0,3.0,0.0,0.0,0.0,0.0,23.86,18.13,0.0,0.0,0.0,0.0,
Aaron Winchester,Georgia State,2016,SUN BELT,0.0,0.0,204.0,1.0,271.0,1.0,0.0,0.0,14.7,11.17,7.53,5.72,
Aaron Young,Duke,2016,ACC,124.0,2.0,0.0,0.0,0.0,0.0,7.71,7.32,0.0,0.0,0.0,0.0,
Aaron Zwahlen*,Hawaii,2016,MWC,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.5,0.38,100.0
Abdul Adams*,Oklahoma,2016,BIG 12,25.0,0.0,283.0,0.0,0.0,0.0,0.3,0.28,4.6,4.37,0.0,0.0,7.7
Aca'Cedric Ware*,USC,2016,PAC 12,29.0,0.0,397.0,2.0,0.0,0.0,0.4,0.38,13.15,12.49,0.0,0.0,
Adam Breneman,Massachusetts,2016,INDEPENDENT,808.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Choice*,Clemson,2016,ACC,38.0,0.0,158.0,0.0,0.0,0.0,0.38,0.36,3.09,2.94,0.0,0.0,10.4
Adam Kulon*,Toledo,2016,MAC,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.0,0.0,0.0,0.0,
Adam Nunez*,Texas Christian,2016,BIG 12,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.36,0.34,0.0,0.0,
Adarius Wesley*,Troy,2016,SUN BELT,24.0,0.0,0.0,0.0,0.0,0.0,0.35,0.27,0.0,0.0,0.0,0.0,
Adly Enoicy,Syracuse,2016,ACC,35.0,0.0,0.0,0.0,0.0,0.0,0.45,0.43,0.0,0.0,0.0,0.0,
Adonis Jennings*,Temple,2016,AMERICAN,474.0,4.0,81.0,0.0,0.0,0.0,16.22,13.79,1.64,1.39,0.0,0.0,108.4
Adoree Jackson*,USC,2016,PAC 12,76.0,1.0,51.0,0.0,0.0,0.0,2.57,2.44,0.98,0.93,0.0,0.0,
Adrian Killins*,UCF,2016,AMERICAN,198.0,2.0,325.0,4.0,0.0,0.0,10.77,9.15,16.86,14.33,0.0,0.0,
Aeris Williams*,Mississippi State,2016,SEC,45.0,0.0,720.0,4.0,0.0,0.0,0.83,0.83,20.31,20.31,0.0,0.0,49.7
Ahki Muhammad,Nevada,2016,MWC,98.0,1.0,39.0,0.0,0.0,0.0,4.9,3.72,0.93,0.71,0.0,0.0,91.7
Ahmad Bradshaw*,Army,2016,INDEPENDENT,12.0,0.0,826.0,8.0,703.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1
Ahmad Fulwood*,Florida,2016,SEC,112.0,1.0,0.0,0.0,0.0,0.0,4.77,4.77,0.0,0.0,0.0,0.0,
Ahmmon Richards*,Miami (FL),2016,ACC,934.0,3.0,8.0,0.0,0.0,0.0,18.66,17.73,0.2,0.19,0.0,0.0,
Ainslie Johnson,Illinois,2016,BIG TEN,86.0,2.0,0.0,0.0,0.0,0.0,9.74,9.74,0.0,0.0,0.0,0.0,
Ainuu Taua,UCLA,2016,PAC 12,16.0,0.0,0.0,0.0,0.0,0.0,0.23,0.22,0.0,0.0,0.0,0.0,
Ajalen Holley,Louisiana-Monroe,2016,SUN BELT,310.0,1.0,7.0,0.0,0.0,0.0,10.06,7.65,0.16,0.12,0.0,0.0,
Ajene Harris*,USC,2016,PAC 12,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.27,0.26,0.0,0.0,
Akeel Lynch,Nevada,2016,MWC,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.69,0.52,0.0,0.0,0.0
Akeem Judd,Ole Miss,2016,SEC,106.0,1.0,826.0,6.0,0.0,0.0,3.25,3.25,40.68,40.68,0.0,0.0,62.8
Akilian Butler*,Boise State,2016,MWC,25.0,0.0,33.0,0.0,0.0,0.0,0.32,0.24,0.73,0.55,0.0,0.0,122.2
Akrum Wadley*,Iowa,2016,BIG TEN,315.0,3.0,1081.0,10.0,0.0,0.0,16.73,16.73,45.93,45.93,0.0,0.0,120.9
Al-Damion Riles*,Louisiana,2016,SUN BELT,729.0,2.0,46.0,0.0,48.0,1.0,24.06,18.29,0.99,0.75,5.2,3.95,
Albert Reid,Virginia,2016,ACC,48.0,1.0,480.0,6.0,0.0,0.0,3.01,2.86,40.69,38.66,0.0,0.0,41.0
Alec Bloom,Connecticut,2016,AMERICAN,142.0,1.0,0.0,0.0,0.0,0.0,9.17,7.79,0.0,0.0,0.0,0.0,
Alec Dhaenens*,Boise State,2016,MWC,119.0,2.0,0.0,0.0,0.0,0.0,5.11,3.88,0.0,0.0,0.0,0.0,
Alec Hullibarger*,Eastern Michigan,2016,MAC,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.39,0.27,0.0,0.0,
Alec Ingold*,Wisconsin,2016,BIG TEN,55.0,2.0,44.0,2.0,0.0,0.0,8.24,8.24,4.0,4.0,0.0,0.0,0.0
Alec Morris*,North Texas,2016,CUSA,0.0,0.0,-12.0,0.0,1126.0,9.0,0.0,0.0,-0.35,-0.24,50.79,35.55,
Alec Osborne,Louisiana-Monroe,2016,SUN BELT,107.0,1.0,0.0,0.0,0.0,0.0,5.66,4.3,0.0,0.0,0.0,0.0,
Aleva Hifo*,BYU,2016,INDEPENDENT,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alex Bachman*,Wake Forest,2016,ACC,248.0,1.0,0.0,0.0,0.0,0.0,11.31,10.74,0.0,0.0,0.0,0.0,
Alex Barnes*,Kansas State,2016,BIG 12,0.0,0.0,442.0,6.0,0.0,0.0,0.0,0.0,15.01,14.26,0.0,0.0,96.4
Alex Byers,Utah State,2016,MWC,49.0,0.0,10.0,0.0,0.0,0.0,0.99,0.75,0.24,0.18,0.0,0.0,0.0
Alex Delton*,Kansas State,2016,BIG 12,0.0,0.0,116.0,1.0,11.0,0.0,0.0,0.0,3.2,3.04,0.27,0.26,33.8
Alex Gardner,Florida International,2016,CUSA,191.0,0.0,930.0,6.0,0.0,0.0,3.51,2.46,44.83,31.38,0.0,0.0,
Alex Honey,SMU,2016,AMERICAN,56.0,1.0,0.0,0.0,0.0,0.0,3.16,2.69,0.0,0.0,0.0,0.0,
Alex Hornibrook*,Wisconsin,2016,BIG TEN,0.0,0.0,-81.0,0.0,1262.0,9.0,0.0,0.0,-1.42,-1.42,57.31,57.31,0.0
Alex Leslie*,Houston,2016,AMERICAN,6.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.0,0.0,0.0,0.0,
Alex McGough,Florida International,2016,CUSA,0.0,0.0,117.0,4.0,1891.0,13.0,0.0,0.0,15.78,11.05,68.97,48.28,
