player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A'Jon Vivens,Colorado State,2022,MWC,26.0,0.0,104.0,0.0,0.0,0.0,0.55,0.42,4.87,3.7,0.0,0.0,
A'varius Sparrow*,Middle Tennessee State,2022,CUSA,46.0,0.0,18.0,0.0,0.0,0.0,0.67,0.47,0.64,0.45,0.0,0.0,
A.J. Abbott,Western Michigan,2022,MAC,61.0,1.0,0.0,0.0,0.0,0.0,6.53,4.57,0.0,0.0,0.0,0.0,
A.J. Brown*,Georgia Southern,2022,SUN BELT,7.0,0.0,67.0,1.0,0.0,0.0,0.08,0.06,4.06,3.09,0.0,0.0,
A.J. Gates*,UAB,2022,CUSA,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.21,0.15,0.0,0.0,
A.J. Henning*,Michigan,2022,BIG TEN,60.0,0.0,9.0,0.0,0.0,0.0,0.97,0.97,0.13,0.13,0.0,0.0,16.7
A.J. Toney*,Middle Tennessee State,2022,CUSA,46.0,0.0,0.0,0.0,0.0,0.0,0.67,0.47,0.0,0.0,0.0,0.0,
A.J. Turner*,Marshall,2022,SUN BELT,21.0,1.0,100.0,0.0,0.0,0.0,3.55,2.7,1.87,1.42,0.0,0.0,94.1
A.T. Perry*,Wake Forest,2022,ACC,1096.0,11.0,0.0,0.0,0.0,0.0,26.3,24.98,0.0,0.0,0.0,0.0,
AJ Barner,Indiana,2022,BIG TEN,199.0,3.0,0.0,0.0,0.0,0.0,13.19,13.19,0.0,0.0,0.0,0.0,
AJ Duffy*,Florida State,2022,ACC,0.0,0.0,5.0,0.0,26.0,1.0,0.0,0.0,0.09,0.09,2.16,2.05,0.0
AJ Green*,Arkansas,2022,SEC,75.0,0.0,414.0,3.0,0.0,0.0,1.23,1.23,12.28,12.28,0.0,0.0,72.1
AJ Mayer,Arkansas State,2022,SUN BELT,0.0,0.0,169.0,2.0,214.0,2.0,0.0,0.0,14.24,10.82,10.19,7.74,85.7
AJ Padgett*,Rice,2022,CUSA,0.0,0.0,14.0,0.0,634.0,5.0,0.0,0.0,0.38,0.27,21.34,14.94,0.0
AJ Swann,Vanderbilt,2022,SEC,0.0,0.0,-76.0,0.0,1274.0,10.0,0.0,0.0,-1.98,-1.98,51.06,51.06,0.0
