player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A.J. Graham,Marshall,2010,CUSA,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,1.82,1.27,
A.J. McCarron*,Alabama,2010,SEC,0.0,0.0,0.0,0.0,389.0,3.0,0.0,0.0,0.0,0.0,11.98,11.98,
Aaron Bates*,Michigan State,2010,BIG TEN,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,2.99,2.99,
Aaron Munoz,Louisiana-Monroe,2010,SUN BELT,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,1.03,0.78,
Aaron Murray*,Georgia,2010,SEC,0.0,0.0,0.0,0.0,3049.0,24.0,0.0,0.0,0.0,0.0,96.38,96.38,
Aaron Pankratz,Bowling Green,2010,MAC,0.0,0.0,0.0,0.0,520.0,4.0,0.0,0.0,0.0,0.0,26.02,18.21,
Ace Sanders*,South Carolina,2010,SEC,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.22,2.22,
Adam Froman*,Louisville,2010,OTHER,0.0,0.0,0.0,0.0,1633.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Weber,Minnesota,2010,BIG TEN,0.0,0.0,0.0,0.0,2679.0,20.0,0.0,0.0,0.0,0.0,96.99,96.99,
Alex Allen,Akron,2010,MAC,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.35,0.24,
Alex Carder,Western Michigan,2010,MAC,0.0,0.0,0.0,0.0,3334.0,30.0,0.0,0.0,0.0,0.0,98.61,69.03,
Alex Dennison,Buffalo,2010,MAC,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.68,0.48,
Alex Gillett,Eastern Michigan,2010,MAC,0.0,0.0,0.0,0.0,1633.0,13.0,0.0,0.0,0.0,0.0,88.93,62.25,
Alex King,Duke,2010,ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alex Loukas*,Stanford,2010,PAC 12,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.27,0.26,
Alex Pettee*,Toledo,2010,MAC,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,
Alex Zordich,Buffalo,2010,MAC,0.0,0.0,0.0,0.0,428.0,1.0,0.0,0.0,0.0,0.0,12.62,8.83,
Alonso Rojas,Kansas,2010,BIG 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alonzo Highsmith*,Miami (FL),2010,ACC,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.29,0.28,
Andrew Clifford*,South Carolina,2010,SEC,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,
Andrew Luck*,Stanford,2010,PAC 12,0.0,0.0,0.0,0.0,3338.0,32.0,0.0,0.0,0.0,0.0,99.63,94.65,
Andrew Manley,New Mexico State,2010,OTHER,0.0,0.0,0.0,0.0,604.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrew Maxwell*,Michigan State,2010,BIG TEN,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,
Andy Dalton*,Texas Christian,2010,MWC,0.0,0.0,0.0,0.0,2857.0,27.0,0.0,0.0,0.0,0.0,94.44,71.77,
Antonio Andrews,Western Kentucky,2010,SUN BELT,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.07,0.81,
