player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
Devin Leary*,Kentucky,2023,SEC,-4.0,0.0,-60.0,1.0,2746.0,25.0,-0.07,-0.07,0.97,0.97,99.91,99.91,0.0
Devin Maddox*,Toledo,2023,MAC,141.0,1.0,3.0,0.0,0.0,0.0,4.21,2.95,0.05,0.03,0.0,0.0,70.6
Devin McCuin*,UTSA,2023,AMERICAN,546.0,3.0,10.0,0.0,0.0,0.0,14.41,12.25,0.22,0.19,0.0,0.0,
Devin Mockobee,Purdue,2023,BIG TEN,180.0,1.0,811.0,6.0,0.0,0.0,6.89,6.89,34.99,34.99,0.0,0.0,69.8
Devin Neal*,Kansas,2023,BIG 12,217.0,1.0,1280.0,16.0,0.0,0.0,5.56,5.28,48.9,46.46,0.0,0.0,101.9
Devin Price,Florida Atlantic,2023,AMERICAN,120.0,1.0,0.0,0.0,0.0,0.0,4.95,4.21,0.0,0.0,0.0,0.0,
Devin Roche*,Old Dominion,2023,SUN BELT,19.0,0.0,182.0,0.0,0.0,0.0,0.38,0.29,4.56,3.47,0.0,0.0,
Devin Voisin*,South Alabama,2023,SUN BELT,77.0,1.0,0.0,0.0,0.0,0.0,2.89,2.2,0.0,0.0,0.0,0.0,
Devon Dampier,New Mexico,2023,MWC,1.0,0.0,328.0,4.0,525.0,6.0,0.02,0.02,14.79,11.24,27.69,21.04,114.0
Devon Rivers*,Fresno State,2023,MWC,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,1.6,1.22,0.0,0.0,81.3
Devon Tauaefa,Hawaii,2023,MWC,55.0,1.0,0.0,0.0,0.0,0.0,2.62,1.99,0.0,0.0,0.0,0.0,
Devontae Houston,Connecticut,2023,INDEPENDENT,59.0,1.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Devonte Ross*,Troy,2023,SUN BELT,428.0,3.0,2.0,0.0,0.0,0.0,10.92,8.3,0.05,0.04,0.0,0.0,0.0
Devontez Walker*,North Carolina,2023,ACC,699.0,7.0,23.0,0.0,0.0,0.0,22.45,21.33,0.46,0.44,0.0,0.0,
Devyn Ford*,Notre Dame,2023,INDEPENDENT,34.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8
Dewayne Coleman,Army,2023,INDEPENDENT,0.0,0.0,8.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deyunkrea Lewis*,Troy,2023,SUN BELT,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,
Diante Vines*,Iowa,2023,BIG TEN,134.0,1.0,4.0,0.0,0.0,0.0,9.59,9.59,0.12,0.12,0.0,0.0,30.8
Diego Pavia*,New Mexico State,2023,CUSA,0.0,0.0,923.0,7.0,2973.0,26.0,0.0,0.0,31.4,21.98,92.79,64.95,
Dijon Stanley*,Utah,2023,PAC 12,21.0,0.0,1.0,0.0,0.0,0.0,0.49,0.47,0.02,0.02,0.0,0.0,0.0
Dillon Bell*,Georgia,2023,SEC,355.0,2.0,157.0,2.0,18.0,1.0,7.6,7.6,5.43,5.43,1.93,1.93,69.8
Dillon Gabriel*,Oklahoma,2023,BIG 12,0.0,0.0,373.0,12.0,3660.0,30.0,0.0,0.0,26.63,25.3,87.45,83.08,37.8
Dillon Johnson*,Washington,2023,PAC 12,190.0,0.0,1195.0,16.0,5.0,1.0,1.84,1.75,62.21,59.1,1.36,1.29,54.9
Dimitri Stanley*,Iowa State,2023,BIG 12,139.0,0.0,0.0,0.0,0.0,0.0,2.18,2.07,0.0,0.0,0.0,0.0,
Dino Tomlin*,Boston College,2023,ACC,312.0,0.0,12.0,0.0,0.0,0.0,6.58,6.25,0.23,0.22,0.0,0.0,81.5
Djay Braswell,South Carolina,2023,SEC,35.0,0.0,25.0,0.0,0.0,0.0,0.52,0.52,1.22,1.22,0.0,0.0,
Djouvensky Schlenbaker,Washington State,2023,PAC 12,32.0,1.0,146.0,0.0,0.0,0.0,2.25,2.14,7.17,6.81,0.0,0.0,
Dominic Dutton*,Old Dominion,2023,SUN BELT,201.0,4.0,0.0,0.0,0.0,0.0,13.97,10.62,0.0,0.0,0.0,0.0,
Dominic Gicinto*,Nevada-Las Vegas,2023,MWC,124.0,1.0,0.0,0.0,0.0,0.0,4.79,3.64,0.0,0.0,0.0,0.0,
Dominic Gonnella*,South Florida,2023,AMERICAN,8.0,0.0,4.0,0.0,0.0,0.0,0.11,0.09,0.08,0.07,0.0,0.0,
Dominic Lovett*,Georgia,2023,SEC,613.0,4.0,0.0,0.0,0.0,0.0,14.07,14.07,0.0,0.0,0.0,0.0,
Dominic Richardson,Baylor,2023,BIG 12,152.0,1.0,519.0,1.0,0.0,0.0,5.74,5.45,22.68,21.55,0.0,0.0,57.7
Dominick Blaylock*,Georgia Tech,2023,ACC,337.0,2.0,0.0,0.0,0.0,0.0,9.57,9.09,0.0,0.0,0.0,0.0,
Dominick Mazotti*,San Jose State,2023,MWC,322.0,2.0,0.0,0.0,0.0,0.0,10.41,7.91,0.0,0.0,0.0,0.0,
Dominique Johnson,Arkansas,2023,SEC,4.0,0.0,167.0,1.0,0.0,0.0,0.09,0.09,10.56,10.56,0.0,0.0,109.1
Dominique Shoffner,Charlotte,2023,AMERICAN,0.0,0.0,30.0,0.0,37.0,0.0,0.0,0.0,0.86,0.73,0.92,0.78,
Domonique Thomas*,Clemson,2023,ACC,4.0,0.0,116.0,1.0,0.0,0.0,0.07,0.07,4.64,4.41,0.0,0.0,96.5
Donald Chaney Jr.*,Miami (FL),2023,ACC,15.0,0.0,478.0,2.0,0.0,0.0,0.22,0.21,14.78,14.04,0.0,0.0,
Donaven McCulley,Indiana,2023,BIG TEN,644.0,6.0,-1.0,0.0,44.0,1.0,29.28,29.28,-0.03,-0.03,3.64,3.64,8.0
