player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,Shuttle1,Three Cone1,YPC1,YCO/A1,MTF/A1,Break%1,YPR1,Rec Yards1,Y/RR1,YAC/R1,aDOT1,CTPRR1,UCTPRR1,Drop Rate1,CC%1,Wide%1,Slot%1,Comp%1,ADJ%1,BTT%1,TWP%1,DAA1,YPA1,EPA/P1,aYPTPA1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,Shuttle2,Three Cone2,YPC2,YCO/A2,MTF/A2,Break%2,YPR2,Rec Yards2,Y/RR2,YAC/R2,aDOT2,CTPRR2,UCTPRR2,Drop Rate2,CC%2,Wide%2,Slot%2,Comp%2,ADJ%2,BTT%2,TWP%2,DAA2,YPA2,EPA/P2,aYPTPA2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,Shuttle3,Three Cone3,YPC3,YCO/A3,MTF/A3,Break%3,YPR3,Rec Yards3,Y/RR3,YAC/R3,aDOT3,CTPRR3,UCTPRR3,Drop Rate3,CC%3,Wide%3,Slot%3,Comp%3,ADJ%3,BTT%3,TWP%3,DAA3,YPA3,EPA/P3,aYPTPA3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,Shuttle4,Three Cone4,YPC4,YCO/A4,MTF/A4,Break%4,YPR4,Rec Yards4,Y/RR4,YAC/R4,aDOT4,CTPRR4,UCTPRR4,Drop Rate4,CC%4,Wide%4,Slot%4,Comp%4,ADJ%4,BTT%4,TWP%4,DAA4,YPA4,EPA/P4,aYPTPA4,birthday_parsed,birthdate_source_url
Kimani Vidal,RB,6.0,2001-08-28,20.01,2020.0,19.01,0.172,0.131,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,19.01,0.035,0.027,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,20.01,0.023,0.018,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,20.01,0.289,0.22,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-08-28,https://www.pro-football-reference.com/players/V/VidaKi00.htm
Kirk Cousins,QB,4.0,1988-08-19,21.03,2008.0,20.04,-0.002,-0.002,0.147,0.147,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,21.03,0.009,0.009,0.722,0.722,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,21.03,0.0,0.0,0.722,0.722,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,22.03,-0.0,-0.0,0.894,0.894,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988-08-19,https://www.pro-football-reference.com/players/C/CousKi00.htm
Kliff Kingsbury,QB,6.0,1979-08-09,21.07,2000.0,21.07,0.05,0.048,0.981,0.932,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,22.06,-0.006,-0.006,0.935,0.888,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0,23.06,0.0,0.0,0.911,0.865,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0,23.06,0.01,0.009,0.911,0.865,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979-08-09,https://www.pro-football-reference.com/players/K/KingKl00.htm
Knile Davis,RB,3.0,1991-10-05,18.91,2009.0,17.91,0.084,0.084,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,17.91,0.001,0.001,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,18.91,0.333,0.333,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,18.91,0.03,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-10-05,https://www.pro-football-reference.com/players/D/DaviKn00.htm
Knowshon Moreno,RB,1.0,1987-07-16,20.13,2007.0,20.13,0.049,0.049,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007.0,20.13,0.609,0.609,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,21.13,0.091,0.091,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,21.13,0.49,0.49,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987-07-16,https://www.pro-football-reference.com/players/M/MoreKn00.htm
Ko Kieft,TE,6.0,1998-01-20,,2017.0,19.61,0.006,0.006,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,20.61,0.004,0.004,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,22.61,-0.001,-0.001,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,22.61,0.082,0.082,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-01-20,https://www.pro-football-reference.com/players/K/KiefKo00.htm
Kolby Listenbee,WR,6.0,1994-01-25,,2012.0,18.6,0.01,0.009,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0,19.6,0.004,0.004,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,20.6,0.002,0.002,0.017,0.016,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,20.6,0.143,0.136,0.017,0.016,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994-01-25,https://en.wikipedia.org/wiki/Kolby_Listenbee
Kolby Smith,RB,5.0,1984-12-15,,2003.0,18.71,0.044,0.031,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.0,18.71,0.008,0.005,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004.0,19.71,0.035,0.025,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,20.71,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-12-15,https://www.pro-football-reference.com/players/S/SmitKo00.htm
Konata Mumpfield,WR,7.0,2002-10-24,18.86,2021.0,18.86,0.334,0.234,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,19.85,0.134,0.127,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,19.85,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,20.85,0.003,0.003,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-10-24,https://www.pro-football-reference.com/players/M/MumpKo00.htm
Koren Robinson,WR,1.0,1980-03-19,20.45,2000.0,20.45,0.015,0.014,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,20.45,0.397,0.377,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980-03-19,https://www.pro-football-reference.com/players/R/RobiKo00.htm
