player_name,Year1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Year2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Year3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Year4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4
Jesse Matthews,2019.0,18.68,14.2,0.0,0.0,0.19,0.14,2020.0,21.79,16.56,0.0,0.0,-0.03,-0.02,2021.0,41.78,31.75,0.0,0.0,0.1,0.08,2022.0,20.76,15.78,0.0,0.0,0.03,0.02
Jesse Mirco,2022.0,0.0,0.0,0.0,0.0,0.44,0.44,2023.0,0.0,0.0,0.0,0.0,0.06,0.06,2024.0,0.0,0.0,0.0,0.0,0.25,0.25,,,,,,,
Jesse Ofurie,2023.0,0.31,0.31,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jesse Palmer,2000.0,0.0,0.0,38.53,38.53,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jesse Prewitt III,2023.0,23.22,16.25,0.0,0.0,0.0,0.0,2024.0,13.83,9.68,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Jesse Scroggins,2014.0,0.0,0.0,3.65,3.47,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jesse Watson,2024.0,0.36,0.36,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jessie Britt,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Jester Weah,2016.0,32.95,31.3,0.0,0.0,0.0,0.0,2017.0,30.03,28.53,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Jesus Wilson,2016.0,7.85,7.46,0.0,0.0,0.11,0.1,,,,,,,,,,,,,,,,,,,,,
Jet Harris,2021.0,0.0,0.0,0.0,0.0,0.28,0.21,2022.0,0.0,0.0,0.0,0.0,0.82,0.62,2023.0,0.0,0.0,0.0,0.0,1.66,1.26,,,,,,,
Jett Coolman,2024.0,0.18,0.15,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jett Duffey,2017.0,0.0,0.0,0.18,0.17,0.16,0.15,2018.0,0.0,0.0,28.71,27.27,19.36,18.39,2019.0,0.18,0.17,73.95,70.25,8.41,7.99,,,,,,,
Jevan Snead,2006.0,0.0,0.0,9.46,8.99,0.0,0.0,2008.0,0.0,0.0,96.18,96.18,0.0,0.0,2009.0,0.0,0.0,91.73,91.73,0.0,0.0,,,,,,,
Jevin Frett,2020.0,9.86,7.49,0.0,0.0,0.0,0.0,2021.0,8.02,6.1,0.0,0.0,-0.09,-0.07,2022.0,14.0,10.64,0.0,0.0,0.0,0.0,,,,,,,
Jevon Bigelow,2018.0,0.0,0.0,0.0,0.0,11.34,8.62,2020.0,0.21,0.16,0.0,0.0,3.05,2.32,,,,,,,,,,,,,,
Jevon Jackson,2024.0,8.73,6.11,0.0,0.0,48.24,33.77,,,,,,,,,,,,,,,,,,,,,
Jevontey Smith,2016.0,0.18,0.13,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jevyon Ducker,2021.0,0.29,0.2,0.0,0.0,21.65,15.15,2022.0,1.42,1.21,0.0,0.0,26.38,22.42,2023.0,0.2,0.17,0.0,0.0,1.04,0.88,2024.0,2.52,1.76,0.0,0.0,32.61,22.83
JeyQuan Smith,2024.0,1.79,1.52,0.0,0.0,0.02,0.02,,,,,,,,,,,,,,,,,,,,,
Jha'Quan Jackson,2019.0,3.21,2.73,0.0,0.0,0.0,0.0,2020.0,29.07,24.71,0.0,0.0,2.16,1.84,2021.0,7.7,6.54,0.0,0.0,0.66,0.56,2022.0,13.36,11.36,0.0,0.0,0.14,0.12
Jhajuan Seales,2016.0,14.2,13.49,0.0,0.0,0.07,0.07,,,,,,,,,,,,,,,,,,,,,
Jhamon Ausbon,2017.0,15.56,15.56,0.0,0.0,0.0,0.0,2018.0,5.71,5.71,0.0,0.0,0.0,0.0,2019.0,25.61,25.61,0.0,0.0,0.0,0.0,,,,,,,
Jhari Patterson,2023.0,3.48,2.96,0.0,0.0,0.07,0.06,2024.0,6.02,5.12,0.0,0.0,2.03,1.73,,,,,,,,,,,,,,
Jhaylin Embry,2020.0,0.0,0.0,0.0,0.0,2.72,1.9,2021.0,3.18,2.23,0.0,0.0,5.43,3.8,2022.0,0.69,0.48,0.0,0.0,1.0,0.7,2023.0,0.04,0.03,0.0,0.0,0.14,0.1
Jim Dougherty,2001.0,0.0,0.0,0.61,0.58,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jim Jones,2012.0,0.0,0.0,5.21,3.65,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jim Kaylor,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jim Medure,2018.0,0.73,0.69,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jim Ollis,2006.0,0.0,0.0,0.95,0.72,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jim Sorgi,2000.0,0.0,0.0,36.4,36.4,0.0,0.0,2001.0,0.0,0.0,47.91,47.91,0.0,0.0,2002.0,0.0,0.0,14.97,14.97,0.0,0.0,2003.0,0.0,0.0,86.95,86.95,0.0,0.0
Jimmie Kaylor,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jimmy Barnes,2006.0,0.0,0.0,3.59,3.59,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jimmy Calloway,2020.0,0.49,0.49,0.0,0.0,-0.21,-0.21,2021.0,2.77,2.77,0.0,0.0,0.0,0.0,2022.0,0.24,0.24,0.0,0.0,0.0,0.0,2023.0,3.65,3.47,0.0,0.0,0.4,0.38
Jimmy Clausen,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Jimmy Costello,2009.0,0.0,0.0,0.86,0.82,0.0,0.0,2011.0,0.0,0.0,3.4,3.23,0.0,0.0,,,,,,,,,,,,,,
Jimmy Erwin,2002.0,0.0,0.0,0.52,0.36,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jimmy Haywood,2022.0,0.0,0.0,0.0,0.0,0.33,0.25,,,,,,,,,,,,,,,,,,,,,
Jimmy Holiday,2020.0,0.0,0.0,0.0,0.0,0.21,0.21,2021.0,0.07,0.07,0.0,0.0,0.0,0.0,2022.0,2.57,2.57,0.0,0.0,0.0,0.0,2023.0,6.86,4.8,0.0,0.0,0.0,0.0
Jimmy Horn Jr.,2021.0,17.17,14.59,0.0,0.0,0.31,0.26,2022.0,20.23,17.2,0.0,0.0,4.0,3.4,2023.0,18.36,17.44,2.15,2.04,1.09,1.04,2024.0,6.69,6.36,0.0,0.0,0.18,0.17
Jimmy Howell,2010.0,0.0,0.0,3.39,3.22,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jimmy Marshall,2017.0,5.56,3.89,0.0,0.0,0.0,0.0,2018.0,1.47,1.03,0.0,0.0,0.0,0.0,2019.0,22.68,15.88,0.0,0.0,0.0,0.0,2020.0,1.52,1.06,0.0,0.0,0.0,0.0
Jimmy Murphy,2019.0,0.0,0.0,0.0,0.0,3.71,3.52,,,,,,,,,,,,,,,,,,,,,
Jimmy Skinner,2003.0,0.0,0.0,0.09,0.06,0.0,0.0,2004.0,0.0,0.0,0.08,0.06,0.0,0.0,2005.0,0.0,0.0,50.16,35.11,0.0,0.0,2006.0,0.0,0.0,44.54,31.18,0.0,0.0
Jimmy Valsin III,2022.0,0.15,0.14,0.0,0.0,0.0,0.0,2023.0,6.29,5.98,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Jirehl Brock,2019.0,0.0,0.0,0.0,0.0,1.38,1.31,2020.0,0.55,0.52,0.0,0.0,0.98,0.93,2021.0,2.9,2.76,0.0,0.0,6.16,5.85,2022.0,4.43,4.21,0.0,0.0,32.17,30.56
Jiya Wright,2021.0,0.0,0.0,10.19,7.74,7.78,5.91,2022.0,0.0,0.0,0.0,0.0,0.1,0.08,2023.0,0.0,0.0,63.03,47.9,21.82,16.58,,,,,,,
Jjay Mcafee,2021.0,3.2,2.43,0.0,0.0,0.0,0.0,2022.0,9.39,7.14,0.0,0.0,0.08,0.06,2023.0,12.5,9.5,0.0,0.0,0.0,0.0,,,,,,,
Jo'quavious Marks,2020.0,4.11,4.11,0.0,0.0,51.05,51.05,2021.0,9.16,9.16,0.0,0.0,55.33,55.33,2022.0,3.56,3.56,0.0,0.0,64.9,64.9,2023.0,10.49,10.49,0.0,0.0,32.94,32.94
Jo-El Shaw,2018.0,8.79,6.15,0.0,0.0,33.44,23.41,2019.0,0.81,0.57,0.0,0.0,12.48,8.74,,,,,,,,,,,,,,
JoJo Robinson,2017.0,0.3,0.28,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
JoJo Ward,2018.0,20.42,15.52,0.0,0.0,0.0,0.0,2019.0,24.31,18.48,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Joachim Bangda,2019.0,0.23,0.16,0.0,0.0,8.94,6.26,2020.0,0.0,0.0,0.0,0.0,1.6,1.12,2021.0,0.09,0.06,0.0,0.0,3.33,2.33,2023.0,1.14,0.97,0.0,0.0,16.61,14.12
Joah Flores,2021.0,0.0,0.0,0.18,0.14,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Jobi Malary,2024.0,0.11,0.08,0.0,0.0,10.4,7.9,,,,,,,,,,,,,,,,,,,,,
