player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A.J. Blue*,North Carolina,2013,ACC,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.32,0.3,
A.J. Derby,Arkansas,2013,SEC,0.0,0.0,0.0,0.0,178.0,1.0,0.0,0.0,0.0,0.0,8.33,8.33,
A.J. Doyle,Massachusetts,2013,MAC,0.0,0.0,0.0,0.0,1274.0,6.0,0.0,0.0,0.0,0.0,67.27,47.09,
A.J. McCarron*,Alabama,2013,SEC,0.0,0.0,0.0,0.0,3063.0,28.0,0.0,0.0,0.0,0.0,94.08,94.08,
A.J. Schurr,Army,2013,INDEPENDENT,0.0,0.0,0.0,0.0,196.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Bailey,Illinois,2013,BIG TEN,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.23,2.23,
Aaron Bradley,Nevada,2013,MWC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Murray*,Georgia,2013,SEC,0.0,0.0,0.0,0.0,3075.0,26.0,0.0,0.0,0.0,0.0,79.57,79.57,
Adam Dingwell*,San Diego State,2013,MWC,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,4.73,3.59,
Adam Kennedy*,Arkansas State,2013,SUN BELT,0.0,0.0,0.0,0.0,2363.0,11.0,0.0,0.0,0.0,0.0,84.26,64.04,
Adam Schulz,Utah,2013,PAC 12,0.0,0.0,0.0,0.0,1008.0,6.0,0.0,0.0,0.0,0.0,31.41,29.84,
Adam Shapiro,New Mexico State,2013,INDEPENDENT,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ajalen Holley,Louisiana-Monroe,2013,SUN BELT,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.46,0.35,
Alex Niznak,Central Michigan,2013,MAC,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,2.76,1.93,
Alex Zordich*,Buffalo,2013,MAC,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,1.12,0.78,
Allan Bridgford,Southern Mississippi,2013,CUSA,0.0,0.0,0.0,0.0,1133.0,6.0,0.0,0.0,0.0,0.0,35.25,24.67,
Ameer Abdullah*,Nebraska,2013,BIG TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ammon Olsen*,BYU,2013,INDEPENDENT,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrew Hendrix*,Notre Dame,2013,INDEPENDENT,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrew Maxwell*,Michigan State,2013,BIG TEN,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,1.92,1.92,
Andrew McDonald,New Mexico State,2013,INDEPENDENT,0.0,0.0,0.0,0.0,2497.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andrew McNulty*,North Texas,2013,CUSA,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.6,0.42,
Angel Santiago,Army,2013,INDEPENDENT,0.0,0.0,0.0,0.0,597.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
Anthony Boone*,Duke,2013,ACC,0.0,0.0,0.0,0.0,2260.0,13.0,0.0,0.0,0.0,0.0,57.53,54.65,
Anthony Jennings*,LSU,2013,SEC,0.0,0.0,0.0,0.0,181.0,1.0,0.0,0.0,0.0,0.0,4.95,4.95,
Anthony Williams*,Nevada-Las Vegas,2013,MWC,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.37,0.28,
