player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
T.J. Acree*,Boise State,2003,OTHER,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tali Ena*,New Mexico,2003,MWC,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,3.04,2.31,
Talib Wise,Nevada,2003,OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Talmadge Hill,Ball State,2003,MAC,0.0,0.0,0.0,0.0,1691.0,13.0,0.0,0.0,0.0,0.0,60.52,42.36,
Tanner Engstrand,San Diego State,2003,MWC,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.02,
Tate Wallis,SMU,2003,OTHER,0.0,0.0,0.0,0.0,390.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ted Trump,Rutgers,2003,OTHER,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Terrance Copper,East Carolina,2003,CUSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Terrence Thomas*,New Mexico,2003,MWC,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,3.06,2.33,
Terrence Whitehead*,Oregon,2003,PAC 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Thomas Tapeh*,Minnesota,2003,BIG TEN,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,
Tim Brasic,Illinois,2003,BIG TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Timmy Chang*,Hawaii,2003,OTHER,0.0,0.0,0.0,0.0,4199.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,
Todd Mortensen,BYU,2003,MWC,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,1.98,1.5,
Tommy Cook,Kentucky,2003,SEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tony Lane*,Navy,2003,INDEPENDENT,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tony Yelk,Iowa State,2003,BIG 12,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13,
Travis Cox,Utah State,2003,SUN BELT,0.0,0.0,0.0,0.0,2791.0,18.0,0.0,0.0,0.0,0.0,95.42,72.52,
Travis Moore,Nevada,2003,OTHER,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tremayne Kirkland,Nevada-Las Vegas,2003,MWC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trent Edwards,Stanford,2003,PAC 12,0.0,0.0,0.0,0.0,750.0,4.0,0.0,0.0,0.0,0.0,34.88,33.14,
Tuati Wooden,San Jose State,2003,OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ty Branyon,Texas A&M,2003,BIG 12,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.27,0.26,
Tye Gunn*,Texas Christian,2003,CUSA,0.0,0.0,0.0,0.0,788.0,2.0,0.0,0.0,0.0,0.0,22.01,15.41,
Vince Brewer,South Florida,2003,CUSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Vince Young*,Texas,2003,BIG 12,0.0,0.0,0.0,0.0,1155.0,6.0,0.0,0.0,0.0,0.0,35.14,33.38,
Wali Lundy*,Virginia,2003,ACC,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,2.44,2.32,
Walter Washington,Temple,2003,OTHER,0.0,0.0,0.0,0.0,1265.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,
Waye Terry,Iowa State,2003,BIG 12,0.0,0.0,0.0,0.0,415.0,2.0,0.0,0.0,0.0,0.0,19.78,18.79,
Wesley Hill*,Auburn,2003,SEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Wyatt Sexton*,Florida State,2003,ACC,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.8,0.76,
Zac Dahman,Army,2003,CUSA,0.0,0.0,0.0,0.0,2234.0,11.0,0.0,0.0,0.0,0.0,83.77,58.64,
Zac Taylor,Wake Forest,2003,ACC,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,
Zach Gerstner,Idaho,2003,SUN BELT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Zack Mills,Penn State,2003,BIG TEN,0.0,0.0,0.0,0.0,1404.0,6.0,0.0,0.0,0.0,0.0,57.85,57.85,
_ Engstrand,San Diego State,2003,MWC,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.02,
_ Goff*,Virginia Tech,2003,OTHER,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
