player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A'Marion Peterson*,USC,2024,BIG TEN,13.0,0.0,65.0,1.0,0.0,0.0,0.17,0.17,4.22,4.22,0.0,0.0,
A.J. Henning,Northwestern,2024,BIG TEN,603.0,4.0,8.0,0.0,0.0,0.0,42.09,42.09,0.34,0.34,0.0,0.0,
A.J. Turner,Marshall,2024,SUN BELT,68.0,2.0,864.0,6.0,0.0,0.0,5.15,3.91,30.76,23.38,0.0,0.0,97.3
AJ Bianco,Nevada,2024,MWC,0.0,0.0,7.0,0.0,173.0,1.0,0.0,0.0,0.16,0.12,5.76,4.38,0.0
AJ Hairston,Massachusetts,2024,INDEPENDENT,0.0,0.0,-5.0,1.0,480.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,
AJ Newberry*,Vanderbilt,2024,SEC,134.0,2.0,185.0,3.0,0.0,0.0,7.65,7.65,13.42,13.42,0.0,0.0,48.8
AJ Swann*,LSU,2024,SEC,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,
AJ Williams*,Army,2024,AMERICAN,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.0,0.0,0.0
Aaron Anderson*,LSU,2024,SEC,884.0,5.0,0.0,0.0,0.0,0.0,19.41,19.41,0.0,0.0,0.0,0.0,
Aaron Philo*,Georgia Tech,2024,ACC,0.0,0.0,76.0,1.0,565.0,1.0,0.0,0.0,3.29,3.13,12.09,11.49,
Aaron Turner,Cincinnati,2024,BIG 12,85.0,0.0,0.0,0.0,0.0,0.0,1.5,1.42,0.0,0.0,0.0,0.0,
Aaron Young,Old Dominion,2024,SUN BELT,71.0,0.0,887.0,8.0,0.0,0.0,1.53,1.16,32.43,24.65,0.0,0.0,
Abdul Janneh*,Georgia Tech,2024,ACC,109.0,0.0,0.0,0.0,0.0,0.0,1.76,1.67,0.0,0.0,0.0,0.0,
