player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A'Jon Vivens,Colorado State,2021,MWC,73.0,0.0,324.0,0.0,0.0,0.0,1.21,0.92,8.22,6.25,0.0,0.0,
A'varius Sparrow*,West Virginia,2021,BIG 12,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.76,2.62,0.0,0.0,
A.J. Abbott*,Wisconsin,2021,BIG TEN,7.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,
A.J. Brown,Georgia Southern,2021,SUN BELT,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0,
A.J. Davis Jr.*,Pitt,2021,ACC,23.0,0.0,21.0,1.0,0.0,0.0,0.24,0.23,2.42,2.3,0.0,0.0,
A.J. Davis*,UAB,2021,CUSA,95.0,0.0,-3.0,0.0,0.0,0.0,1.77,1.24,-0.06,-0.04,0.0,0.0,
A.J. Gates*,UAB,2021,CUSA,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.51,0.36,0.0,0.0,
A.J. Henning*,Michigan,2021,BIG TEN,79.0,0.0,162.0,2.0,0.0,0.0,1.23,1.23,5.26,5.26,0.0,0.0,372.5
A.T. Perry*,Wake Forest,2021,ACC,1293.0,15.0,0.0,0.0,0.0,0.0,34.26,32.55,0.0,0.0,0.0,0.0,
AJ Barner,Indiana,2021,BIG TEN,162.0,1.0,0.0,0.0,0.0,0.0,9.4,9.4,0.0,0.0,0.0,0.0,
AJ Green*,Arkansas,2021,SEC,84.0,1.0,227.0,1.0,0.0,0.0,3.78,3.78,5.73,5.73,0.0,0.0,58.2
AJ Howard Jr.*,Army,2021,INDEPENDENT,40.0,0.0,106.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AJ Lewis,Troy,2021,SUN BELT,60.0,0.0,0.0,0.0,0.0,0.0,1.05,0.8,0.0,0.0,0.0,0.0,
AJ Mayer*,Miami (OH),2021,MAC,0.0,0.0,59.0,1.0,947.0,6.0,0.0,0.0,4.86,3.4,22.45,15.71,
AJ Phillips,South Alabama,2021,SUN BELT,6.0,0.0,76.0,2.0,0.0,0.0,0.1,0.08,9.5,7.22,0.0,0.0,
Aaron Allen,Louisiana Tech,2021,CUSA,0.0,0.0,-6.0,0.0,620.0,2.0,0.0,0.0,-0.21,-0.15,14.38,10.07,
