player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A.J. Blue*,North Carolina,2009,ACC,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.53,0.5,
A.J. Guyton*,UCF,2009,CUSA,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,3.04,2.13,
A.J. Highsmith*,Miami (FL),2009,ACC,0.0,0.0,0.0,0.0,53.0,1.0,0.0,0.0,0.0,0.0,2.78,2.64,
A.J. Whitmore,Tulsa,2009,CUSA,0.0,0.0,0.0,0.0,85.0,1.0,0.0,0.0,0.0,0.0,3.37,2.36,
Aaron Bates*,Michigan State,2009,BIG TEN,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,
Aaron Corp*,USC,2009,PAC 12,0.0,0.0,0.0,0.0,155.0,1.0,0.0,0.0,0.0,0.0,5.81,5.52,
Aaron Opelt,Toledo,2009,MAC,0.0,0.0,0.0,0.0,1997.0,16.0,0.0,0.0,0.0,0.0,67.97,47.58,
Aaron Pankratz*,Bowling Green,2009,MAC,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.63,0.44,
Adam Follett,Indiana,2009,BIG TEN,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,
Adam Froman,Louisville,2009,OTHER,0.0,0.0,0.0,0.0,1354.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Weber*,Minnesota,2009,BIG TEN,0.0,0.0,0.0,0.0,2582.0,13.0,0.0,0.0,0.0,0.0,91.31,91.31,
Alex Allen,Akron,2009,MAC,0.0,0.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,5.99,4.19,
Alex Carder,Western Michigan,2009,MAC,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.41,0.29,
Alex Cate*,Oklahoma State,2009,BIG 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alex Gillett,Eastern Michigan,2009,MAC,0.0,0.0,0.0,0.0,763.0,3.0,0.0,0.0,0.0,0.0,37.57,26.3,
Alex Pettee,Toledo,2009,MAC,0.0,0.0,0.0,0.0,380.0,1.0,0.0,0.0,0.0,0.0,8.07,5.65,
Alexander Robinson*,Iowa State,2009,BIG 12,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,3.33,3.16,
Alonso Rojas,Kansas,2009,BIG 12,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.21,0.2,
Alston Umuolo,San Diego State,2009,MWC,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.38,0.29,
Andre Jones,Akron,2009,MAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Andre Smith,Arkansas State,2009,SUN BELT,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.39,0.3,
Andrew Banks*,Middle Tennessee State,2009,SUN BELT,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,
Andrew Brewer*,Northwestern,2009,BIG TEN,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,2.82,2.82,
Andrew Luck*,Stanford,2009,PAC 12,0.0,0.0,0.0,0.0,2575.0,13.0,0.0,0.0,0.0,0.0,93.73,89.04,
