player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A'Darius Purifoy*,Appalachian State,2018,SUN BELT,25.0,0.0,0.0,0.0,0.0,0.0,0.5,0.38,0.0,0.0,0.0,0.0,
A.D. Miller*,Oklahoma,2018,BIG 12,75.0,2.0,0.0,0.0,0.0,0.0,3.16,3.0,0.0,0.0,0.0,0.0,
A.J. Brown,Ole Miss,2018,SEC,1320.0,6.0,0.0,0.0,0.0,0.0,30.16,30.16,0.0,0.0,0.0,0.0,
A.J. Carter*,Arizona State,2018,PAC 12,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.25,0.24,0.0,0.0,0.0
A.J. Davis Jr.*,Pitt,2018,ACC,17.0,0.0,134.0,0.0,0.0,0.0,0.43,0.41,2.1,2.0,0.0,0.0,
A.J. Davis*,Pitt,2018,ACC,17.0,0.0,134.0,0.0,0.0,0.0,0.43,0.41,2.1,2.0,0.0,0.0,
A.J. Erdely*,UAB,2018,CUSA,0.0,0.0,257.0,5.0,1539.0,7.0,0.0,0.0,12.37,8.66,46.33,32.43,
A.J. Ouellette*,Ohio,2018,MAC,212.0,2.0,1306.0,12.0,0.0,0.0,7.92,5.54,34.42,24.09,0.0,0.0,85.1
A.J. Richardson,Boise State,2018,MWC,825.0,8.0,0.0,0.0,0.0,0.0,23.77,18.07,0.0,0.0,0.0,0.0,
A.J. Taylor*,Wisconsin,2018,BIG TEN,521.0,3.0,0.0,0.0,0.0,0.0,20.6,20.6,0.0,0.0,0.0,0.0,
A.J. Turner*,South Carolina,2018,SEC,75.0,2.0,294.0,2.0,0.0,0.0,4.18,4.18,14.04,14.04,0.0,0.0,
AJ Bush,Illinois,2018,BIG TEN,0.0,0.0,733.0,8.0,1413.0,6.0,0.0,0.0,28.48,28.48,65.54,65.54,
AJ Dillon,Boston College,2018,ACC,41.0,1.0,1108.0,10.0,0.0,0.0,2.79,2.65,46.14,43.83,0.0,0.0,71.9
Aaren Vaughns*,Utah State,2018,MWC,581.0,5.0,100.0,0.0,0.0,0.0,15.41,11.71,1.88,1.43,0.0,0.0,191.6
Aaron Allen*,Louisiana Tech,2018,CUSA,0.0,0.0,-6.0,0.0,47.0,1.0,0.0,0.0,-0.18,-0.13,3.85,2.7,
Aaron Cephus,Rice,2018,CUSA,565.0,5.0,0.0,0.0,0.0,0.0,31.66,22.16,0.0,0.0,0.0,0.0,
Aaron Fuller*,Washington,2018,PAC 12,874.0,4.0,0.0,0.0,22.0,1.0,23.62,22.44,0.0,0.0,2.96,2.81,
Aaron Hackett*,Syracuse,2018,ACC,43.0,1.0,0.0,0.0,0.0,0.0,2.9,2.76,0.0,0.0,0.0,0.0,
Aaron Mathews*,Pitt,2018,ACC,120.0,0.0,0.0,0.0,0.0,0.0,3.02,2.87,0.0,0.0,0.0,0.0,
Aaron McAllister,Charlotte,2018,CUSA,49.0,0.0,395.0,2.0,0.0,0.0,1.13,0.79,15.67,10.97,0.0,0.0,35.6
Aaron McLean,Connecticut,2018,AMERICAN,396.0,2.0,0.0,0.0,0.0,0.0,14.22,12.09,0.0,0.0,0.0,0.0,
Aaron Molina,New Mexico,2018,MWC,64.0,0.0,0.0,0.0,0.0,0.0,1.51,1.15,0.0,0.0,0.0,0.0,
Aaron Short,Oregon State,2018,PAC 12,42.0,0.0,0.0,0.0,0.0,0.0,0.7,0.66,0.0,0.0,0.0,0.0,
Aaron Winchester,Georgia State,2018,SUN BELT,0.0,0.0,122.0,2.0,348.0,3.0,0.0,0.0,7.71,5.86,17.01,12.93,
Aaron Young*,Duke,2018,ACC,139.0,1.0,0.0,0.0,0.0,0.0,3.79,3.6,0.0,0.0,0.0,0.0,
Abdul Adams*,Syracuse,2018,ACC,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,2.99,2.84,0.0,0.0,28.1
Abdul Bundu-Fitz,Old Dominion,2018,CUSA,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.0,
Abram Smith*,Baylor,2018,BIG 12,3.0,0.0,11.0,0.0,0.0,0.0,0.04,0.04,0.25,0.24,0.0,0.0,40.0
Aca'Cedric Ware,USC,2018,PAC 12,35.0,0.0,825.0,6.0,0.0,0.0,0.59,0.56,43.22,41.06,0.0,0.0,
Adam Choice*,Clemson,2018,ACC,3.0,0.0,548.0,7.0,0.0,0.0,0.04,0.04,14.47,13.75,0.0,0.0,76.2
Adam Dulka,Kent State,2018,MAC,172.0,2.0,2.0,0.0,0.0,0.0,10.52,7.36,0.05,0.03,0.0,0.0,0.0
Adam Harter,Kansas State,2018,BIG 12,11.0,0.0,0.0,0.0,0.0,0.0,0.28,0.27,0.0,0.0,0.0,0.0,
Adam Krumholz*,Wisconsin,2018,BIG TEN,5.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,
Adam Luehrman*,Ohio,2018,MAC,8.0,1.0,0.0,0.0,0.0,0.0,2.15,1.5,0.0,0.0,0.0,0.0,
Adam Prentice,Colorado State,2018,MWC,26.0,0.0,62.0,0.0,0.0,0.0,0.36,0.27,2.44,1.85,0.0,0.0,
Adam Williams*,Memphis,2018,AMERICAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adrian Hardy*,Louisiana Tech,2018,CUSA,1145.0,6.0,0.0,0.0,0.0,0.0,36.4,25.48,0.0,0.0,0.0,0.0,
Adrian Killins*,UCF,2018,AMERICAN,377.0,4.0,715.0,4.0,0.0,0.0,12.53,10.65,15.1,12.84,0.0,0.0,
Adrian Martinez,Nebraska,2018,BIG TEN,-11.0,0.0,629.0,8.0,2617.0,17.0,-0.19,-0.19,28.54,28.54,88.85,88.85,90.4
Aeris Williams*,Mississippi State,2018,SEC,100.0,1.0,524.0,3.0,0.0,0.0,4.49,4.49,14.78,14.78,0.0,0.0,46.4
Ahkil Crumpton*,Georgia,2018,SEC,21.0,0.0,12.0,0.0,0.0,0.0,0.33,0.33,0.18,0.18,0.0,0.0,
Ahmari Davis,New Mexico,2018,MWC,0.0,0.0,185.0,4.0,0.0,0.0,0.0,0.0,16.8,12.77,0.0,0.0,22.4
Ahmmon Richards*,Miami (FL),2018,ACC,9.0,0.0,0.0,0.0,0.0,0.0,0.21,0.2,0.0,0.0,0.0,0.0,
Aidan Willard,Oregon State,2018,PAC 12,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.38,0.0,0.0,
Akeem Hayes*,Kentucky,2018,SEC,-1.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.02,0.0,0.0,0.0,0.0,
Akile Davis*,BYU,2018,INDEPENDENT,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Akilian Butler,Boise State,2018,MWC,204.0,2.0,0.0,0.0,0.0,0.0,5.91,4.49,0.0,0.0,0.0,0.0,
Al'Dontre Davis*,Texas Christian,2018,BIG 12,63.0,0.0,0.0,0.0,0.0,0.0,1.15,1.09,0.0,0.0,0.0,0.0,
Alan Bowman,Texas Tech,2018,BIG 12,10.0,0.0,-26.0,1.0,2638.0,17.0,0.12,0.11,1.1,1.04,61.53,58.45,0.0
Alan Busey,UTEP,2018,CUSA,50.0,0.0,0.0,0.0,0.0,0.0,1.13,0.79,0.0,0.0,0.0,0.0,
Alante Thomas*,Michigan State,2018,BIG TEN,-6.0,0.0,6.0,0.0,0.0,0.0,-0.11,-0.11,0.18,0.18,0.0,0.0,
Albert Okwuegbunam*,Missouri,2018,SEC,466.0,6.0,0.0,0.0,0.0,0.0,17.13,17.13,0.0,0.0,0.0,0.0,
Alec Harris,Texas State,2018,SUN BELT,11.0,0.0,72.0,1.0,0.0,0.0,0.25,0.19,5.37,4.08,0.0,0.0,166.7
Alec Ingold*,Wisconsin,2018,BIG TEN,93.0,1.0,143.0,6.0,0.0,0.0,4.9,4.9,11.39,11.39,0.0,0.0,42.2
Alec Sinkfield*,West Virginia,2018,BIG 12,44.0,0.0,68.0,1.0,0.0,0.0,0.52,0.49,4.03,3.83,0.0,0.0,
Aleva Hifo*,BYU,2018,INDEPENDENT,358.0,2.0,129.0,2.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alex Bachman*,Wake Forest,2018,ACC,541.0,6.0,0.0,0.0,0.0,0.0,20.85,19.81,0.0,0.0,0.0,0.0,
Alex Barnes,Kansas State,2018,BIG 12,194.0,0.0,1355.0,12.0,0.0,0.0,4.99,4.74,60.92,57.87,0.0,0.0,41.0
Alex Cook*,Washington,2018,PAC 12,26.0,0.0,0.0,0.0,0.0,0.0,0.39,0.37,0.0,0.0,0.0,0.0,
Alex Delton,Kansas State,2018,BIG 12,0.0,0.0,234.0,2.0,554.0,2.0,0.0,0.0,10.34,9.82,23.33,22.16,35.6
Alex Fontenot,Colorado,2018,PAC 12,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,3.63,3.45,0.0,0.0,36.4
Alex Hornibrook*,Wisconsin,2018,BIG TEN,0.0,0.0,-61.0,0.0,1532.0,13.0,0.0,0.0,-0.86,-0.86,71.58,71.58,0.0
Alex James,Coastal Carolina,2018,SUN BELT,26.0,1.0,201.0,3.0,0.0,0.0,3.23,2.45,11.36,8.63,0.0,0.0,
Alex Malzone,Miami (OH),2018,MAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alex Mussat*,Western Michigan,2018,MAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alex Netherda*,California,2018,PAC 12,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,0.0,0.0,
