player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A.J. Harris,Northern Illinois,2005,MAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Perez*,UCLA,2005,PAC 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Austin,Arizona,2005,PAC 12,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.63,0.6,
Adam Barmann*,Kansas,2005,BIG 12,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,2.51,2.38,
Adam Bednarik*,West Virginia,2005,OTHER,0.0,0.0,0.0,0.0,532.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Fitch,Air Force,2005,MWC,0.0,0.0,0.0,0.0,485.0,7.0,0.0,0.0,0.0,0.0,37.91,28.81,
Adam Graessle,Pitt,2005,OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adam Tafralis,San Jose State,2005,OTHER,0.0,0.0,0.0,0.0,1810.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,
Al Pena,Oklahoma State,2005,BIG 12,0.0,0.0,0.0,0.0,1102.0,8.0,0.0,0.0,0.0,0.0,65.67,62.39,
Alex Brink,Washington State,2005,PAC 12,0.0,0.0,0.0,0.0,2891.0,24.0,0.0,0.0,0.0,0.0,95.39,90.62,
Alex Mortensen,Arkansas,2005,SEC,0.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,0.0,5.84,5.84,
Allan Evridge,Kansas State,2005,BIG 12,0.0,0.0,0.0,0.0,1365.0,6.0,0.0,0.0,0.0,0.0,50.81,48.27,
Allan Holland,Wake Forest,2005,ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
