33.0,Uril Parrish,Tulsa,WAC,12.0,210.0,1064.0,5.1,8.0,88.7,17.0,109.0,6.4,1.0,9.1,227.0,1173.0,5.2,9.0,
34.0,Kenneth Darby,Alabama,SEC,12.0,219.0,1062.0,4.8,8.0,88.5,15.0,74.0,4.9,1.0,6.2,234.0,1136.0,4.9,9.0,
35.0,Stevie Hicks Jr.,Iowa State,Big 12,12.0,270.0,1062.0,3.9,5.0,88.5,9.0,49.0,5.4,0.0,4.1,279.0,1111.0,4.0,5.0,
36.0,Jerious Norwood,Mississippi State,SEC,11.0,195.0,1050.0,5.4,7.0,95.5,11.0,37.0,3.4,0.0,3.4,206.0,1087.0,5.3,7.0,
37.0,Alvin Pearman,Virginia,ACC,12.0,195.0,1037.0,5.3,10.0,86.4,29.0,402.0,13.9,1.0,33.5,224.0,1439.0,6.4,11.0,
38.0,Antonio Warren,Arkansas State,Sun Belt,11.0,195.0,1036.0,5.3,2.0,94.2,8.0,72.0,9.0,0.0,6.5,203.0,1108.0,5.5,2.0,
39.0,Ed Bailey,Rice,WAC,10.0,208.0,1021.0,4.9,12.0,102.1,3.0,27.0,9.0,1.0,2.7,211.0,1048.0,5.0,13.0,
40.0,Richard Hall,Cincinnati,CUSA,12.0,210.0,1012.0,4.8,6.0,84.3,25.0,152.0,6.1,1.0,12.7,235.0,1164.0,5.0,7.0,
41.0,Chris Barclay,Wake Forest,ACC,11.0,243.0,1010.0,4.2,9.0,91.8,21.0,118.0,5.6,0.0,10.7,264.0,1128.0,4.3,9.0,
42.0,Maurice Drew,UCLA,Pac-10,11.0,160.0,1007.0,6.3,8.0,91.5,18.0,262.0,14.6,3.0,23.8,178.0,1269.0,7.1,11.0,
43.0,Cedric Houston,Tennessee,SEC,13.0,181.0,1005.0,5.6,8.0,77.3,16.0,180.0,11.3,1.0,13.8,197.0,1185.0,6.0,9.0,
44.0,Wendell Mathis,Fresno State,WAC,11.0,146.0,995.0,6.8,12.0,90.5,4.0,59.0,14.8,0.0,5.4,150.0,1054.0,7.0,12.0,
45.0,Aaron Polanco,Navy,Ind,12.0,246.0,980.0,4.0,16.0,81.7,2.0,23.0,11.5,0.0,1.9,248.0,1003.0,4.0,16.0,
46.0,Anthony Davis,Wisconsin,Big Ten,8.0,201.0,973.0,4.8,11.0,121.6,13.0,96.0,7.4,0.0,12.0,214.0,1069.0,5.0,11.0,
47.0,Lee Marks,Boise State,WAC,12.0,189.0,968.0,5.1,2.0,80.7,9.0,40.0,4.4,1.0,3.3,198.0,1008.0,5.1,3.0,
48.0,Adell Givens,Ball State,MAC,10.0,202.0,963.0,4.8,6.0,96.3,13.0,137.0,10.5,1.0,13.7,215.0,1100.0,5.1,7.0,
49.0,Kay-Jay Harris,West Virginia,Big East,11.0,165.0,959.0,5.8,10.0,87.2,20.0,181.0,9.1,3.0,16.5,185.0,1140.0,6.2,13.0,
50.0,Leon Washington,Florida State,ACC,10.0,138.0,951.0,6.9,7.0,95.1,14.0,90.0,6.4,0.0,9.0,152.0,1041.0,6.8,7.0,
51.0,Frank Gore,Miami (FL),ACC,12.0,197.0,945.0,4.8,8.0,78.8,10.0,106.0,10.6,0.0,8.8,207.0,1051.0,5.1,8.0,
52.0,Mike Bell,Arizona,Pac-10,11.0,205.0,941.0,4.6,5.0,85.5,19.0,79.0,4.2,0.0,7.2,224.0,1020.0,4.6,5.0,
53.0,Eric Shelton,Louisville,CUSA,12.0,146.0,938.0,6.4,20.0,78.2,6.0,35.0,5.8,0.0,2.9,152.0,973.0,6.4,20.0,
54.0,Ronnie Brown,Auburn,SEC,12.0,153.0,913.0,6.0,8.0,76.1,34.0,313.0,9.2,1.0,26.1,187.0,1226.0,6.6,9.0,
55.0,Reggie Bush,USC,Pac-10,13.0,143.0,908.0,6.3,6.0,69.8,43.0,509.0,11.8,7.0,39.2,186.0,1417.0,7.6,13.0,"H-5,AA"
56.0,Jerome Harrison,Washington State,Pac-10,11.0,174.0,900.0,5.2,9.0,81.8,10.0,69.0,6.9,0.0,6.3,184.0,969.0,5.3,9.0,
57.0,Luke Clemens,Miami (OH),MAC,13.0,213.0,899.0,4.2,12.0,69.2,25.0,227.0,9.1,3.0,17.5,238.0,1126.0,4.7,15.0,
58.0,Doug Parker,Florida Atlantic,Sun Belt,12.0,227.0,896.0,3.9,8.0,74.7,17.0,144.0,8.5,1.0,12.0,244.0,1040.0,4.3,9.0,
59.0,Joshua Cribbs,Kent State,MAC,10.0,170.0,893.0,5.3,9.0,89.3,2.0,32.0,16.0,1.0,3.2,172.0,925.0,5.4,10.0,
60.0,Pierre Thomas,Illinois,Big Ten,11.0,152.0,893.0,5.9,8.0,81.2,14.0,95.0,6.8,1.0,8.6,166.0,988.0,6.0,9.0,
61.0,Walter Washington,Temple,Big East,11.0,222.0,889.0,4.0,15.0,80.8,1.0,5.0,5.0,0.0,0.5,223.0,894.0,4.0,15.0,
62.0,Lorenzo Booker,Florida State,ACC,12.0,173.0,887.0,5.1,4.0,73.9,24.0,160.0,6.7,0.0,13.3,197.0,1047.0,5.3,4.0,
63.0,Dan Burks,UAB,CUSA,12.0,164.0,880.0,5.4,4.0,73.3,15.0,160.0,10.7,0.0,13.3,179.0,1040.0,5.8,4.0,
64.0,Thomas Brown,Georgia,SEC,11.0,172.0,875.0,5.1,8.0,79.5,16.0,150.0,9.4,0.0,13.6,188.0,1025.0,5.5,8.0,
65.0,Brett Biggs,Akron,MAC,11.0,185.0,871.0,4.7,10.0,79.2,32.0,421.0,13.2,2.0,38.3,217.0,1292.0,6.0,12.0,
66.0,Damien Rhodes,Syracuse,Big East,12.0,153.0,870.0,5.7,10.0,72.5,18.0,246.0,13.7,1.0,20.5,171.0,1116.0,6.5,11.0,
