Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jamon Dumas-Johnson,LB,Kentucky,College Stats,1-Jun,238,,,,,,,
Power Echols,LB,North Carolina,College Stats,11-May,237,4.73,37,,115,7.6,4.56,
Donovan Edwards,RB,Michigan,College Stats,11-May,205,4.44,38.5,23,,,,
Emeka Egbuka,WR,Ohio St.,College Stats,1-Jun,202,,,,,,,Tampa Bay Buccaneers / 1st / 19th pick / 2025
Nick Emmanwori,SAF,South Carolina,College Stats,3-Jun,220,4.38,43,20,138,,,Seattle Seahawks / 2nd / 35th pick / 2025
Aireontae Ersery,OT,Minnesota,College Stats,6-Jun,331,5.01,29.5,,111,7.81,4.82,Houston Texans / 2nd / 48th pick / 2025
Trevor Etienne,RB,Georgia,College Stats,9-May,198,4.42,35,15,124,,,Carolina Panthers / 4th / 114th pick / 2025
Mitchell Evans,TE,Notre Dame,College Stats,5-Jun,258,4.74,31,,115,7.25,4.4,Carolina Panthers / 5th / 163rd pick / 2025
Quinn Ewers,QB,Texas,College Stats,2-Jun,214,,,,,,,Miami Dolphins / 7th / 231st pick / 2025
Donovan Ezeiruaku,EDGE,Boston Col.,College Stats,3-Jun,248,,35.5,22,119,6.94,4.19,Dallas Cowboys / 2nd / 44th pick / 2025
Dylan Fairchild,G,Georgia,College Stats,5-Jun,318,,27.5,,111,,,Cincinnati Bengals / 3rd / 81st pick / 2025
Joshua Farmer,DT,Florida St.,College Stats,3-Jun,305,5.11,29,26,112,,,New England Patriots / 4th / 137th pick / 2025
Da'Quan Felton,WR,Virginia Tech,College Stats,5-Jun,213,4.5,32.5,16,122,7.1,4.3,
Tai Felton,WR,Maryland,College Stats,1-Jun,183,4.37,39.5,,130,,,Minnesota Vikings / 3rd / 102nd pick / 2025
Terrance Ferguson,TE,Oregon,College Stats,5-Jun,247,4.63,39,,122,,,Los Angeles Rams / 2nd / 46th pick / 2025
Ryan Fitzgerald,K,Florida St.,College Stats,11-May,193,,,,,,,
O'Donnell Fortune,CB,South Carolina,College Stats,1-Jun,185,,32.5,,117,,,
Zah Frazier,CB,Texas-San Antonio,College Stats,3-Jun,186,4.36,36.5,,126,7,4.26,
Miles Frazier,G,LSU,College Stats,6-Jun,317,5.24,31,,108,,,Detroit Lions / 5th / 171st pick / 2025
Dillon Gabriel,QB,Oregon,College Stats,11-May,205,,,,,,,Cleveland Browns / 3rd / 94th pick / 2025
Jacolby George,WR,Miami,College Stats,11-May,172,,32.5,,120,6.77,,
DJ Giddens,RB,Kansas St.,College Stats,Jun-00,212,4.43,39.5,,130,,4.33,Indianapolis Colts / 5th / 151st pick / 2025
Ashton Gillotte,EDGE,Louisville,College Stats,3-Jun,264,,36.5,24,120,,,Kansas City Chiefs / 3rd / 66th pick / 2025
Matthew Golden,WR,Texas,College Stats,11-May,191,4.29,,,,,,Green Bay Packers / 1st / 23rd pick / 2025
Mason Graham,DT,Michigan,College Stats,4-Jun,296,,,24,,,,Cleveland Browns / 1st / 5th pick / 2025
Charles Grant,OT,William & Mary,,5-Jun,311,,,,,,,Las Vegas Raiders / 3rd / 99th pick / 2025
Kenneth Grant,DT,Michigan,College Stats,4-Jun,331,,,22,,,,Miami Dolphins / 1st / 13th pick / 2025
Joshua Gray,G,Oregon St.,College Stats,5-Jun,299,5.04,31,,104,,,
Mike Green,EDGE,Marshall,College Stats,3-Jun,251,,,28,,,,Baltimore Ravens / 2nd / 59th pick / 2025
Eric Gregory,DT,Arkansas,College Stats,3-Jun,319,5.14,27,28,108,7.68,4.97,
Maxwell Hairston,CB,Kentucky,College Stats,11-May,183,4.28,39.5,,129,,,Buffalo Bills / 1st / 30th pick / 2025
Ty Hamilton,DT,Ohio St.,College Stats,3-Jun,299,,,,,,,Los Angeles Rams / 5th / 148th pick / 2025
Omarion Hampton,RB,North Carolina,College Stats,Jun-00,221,4.46,38,18,130,,4.4,Los Angeles Chargers / 1st / 22nd pick / 2025
Jordan Hancock,CB,Ohio St.,College Stats,Jun-00,195,,,,,,,Buffalo Bills / 5th / 170th pick / 2025
Derrick Harmon,DT,Oregon,College Stats,5-Jun,313,4.95,,,,,,Pittsburgh Steelers / 1st / 21st pick / 2025
Marcus Harris,CB,California,College Stats,11-May,189,4.45,,,,,,
Jermari Harris,CB,Iowa,College Stats,1-Jun,191,,37,,120,,,
Cleveland Harris,WR,Mississippi,College Stats,2-Jun,205,4.54,38.5,,125,,,Los Angeles Chargers / 2nd / 55th pick / 2025
Jared Harrison-Hunte,DT,SMU,College Stats,3-Jun,290,4.86,32,,111,,,
RJ Harvey,RB,Central Florida,College Stats,8-May,205,4.4,38,16,127,,4.34,Denver Broncos / 2nd / 60th pick / 2025
Ahmed Hassanein,EDGE,Boise St.,College Stats,2-Jun,267,4.77,32.5,27,113,,,Detroit Lions / 6th / 196th pick / 2025
Jackson Hawes,TE,Georgia Tech,College Stats,5-Jun,253,4.82,34.5,16,121,,4.4,Buffalo Bills / 5th / 173rd pick / 2025
Gunnar Helm,TE,Texas,College Stats,5-Jun,241,4.84,30,,,7.15,4.4,Tennessee Titans / 4th / 120th pick / 2025
Tonka Hemingway,DT,South Carolina,College Stats,3-Jun,284,,32,,112,7.36,4.48,Las Vegas Raiders / 4th / 135th pick / 2025
TreVeyon Henderson,RB,Ohio St.,College Stats,10-May,202,4.43,38.5,,128,,,New England Patriots / 2nd / 38th pick / 2025
Seth Henigan,QB,Memphis,College Stats,3-Jun,215,4.76,31.5,,114,7.34,4.44,
Jayden Higgins,WR,Iowa St.,College Stats,4-Jun,214,4.47,39,,128,,,Houston Texans / 2nd / 34th pick / 2025
Jay Higgins,LB,Iowa,College Stats,Jun-00,224,4.82,33,,110,7.01,4.35,
Tommi Hill,CB,Nebraska,College Stats,1-Jun,213,,,,,,,
Myles Hinton,OT,Michigan,College Stats,7-Jun,323,,31.5,,,,4.96,Philadelphia Eagles / 6th / 191st pick / 2025
Traeshon Holden,WR,Oregon,College Stats,2-Jun,205,4.57,32,,123,,,
Maxen Hook,SAF,Toledo,College Stats,1-Jun,202,4.55,34.5,,124,,,
Cam Horsley,DT,Boston Col.,College Stats,3-Jun,312,,31.5,,108,,,
Tory Horton,WR,Colorado St.,College Stats,3-Jun,196,4.41,37.5,,,,,Seattle Seahawks / 5th / 166th pick / 2025
Will Howard,QB,Ohio St.,College Stats,4-Jun,236,,31.5,,112,7.13,4.33,Pittsburgh Steelers / 6th / 185th pick / 2025
Joe Huber,G,Wisconsin,College Stats,5-Jun,310,5.2,28,,106,7.69,4.78,
Kobe Hudson,WR,Central Florida,College Stats,1-Jun,193,4.57,35,,122,,,
Jarquez Hunter,RB,Auburn,College Stats,9-May,204,4.44,33.5,21,120,,,Los Angeles Rams / 4th / 117th pick / 2025
Travis Hunter,CB/WR,Colorado,College Stats,Jun-00,188,,,,,,,Jacksonville Jaguars / 1st / 2nd pick / 2025
Alijah Huzzie,CB,North Carolina,College Stats,10-May,193,,,,,,,
Thomas Fidone II,TE,Nebraska,College Stats,5-Jun,243,4.7,35.5,,126,7.01,4.29,
Oronde Gadsden II,TE,Syracuse,College Stats,5-Jun,243,,34,,114,,,Los Angeles Chargers / 5th / 165th pick / 2025
Ollie Gordon II,RB,Oklahoma St.,College Stats,1-Jun,226,4.61,34.5,,120,,,Miami Dolphins / 6th / 179th pick / 2025
Torricelli Simpkins III,C,South Carolina,College Stats,5-Jun,312,5.45,29,,110,,,
Luther Burden III,WR,Missouri,College Stats,Jun-00,206,4.41,,,,,,Chicago Bears / 2nd / 39th pick / 2025
Howard Cross III,DT,Notre Dame,College Stats,1-Jun,285,,29,,104,,,
Rayuan Lane III,SAF,Navy,College Stats,11-May,200,4.57,37,,128,7.1,4.28,Jacksonville Jaguars / 6th / 200th pick / 2025
Ricky White III,WR,UNLV,College Stats,1-Jun,184,4.61,36,,123,,,Seattle Seahawks / 7th / 238th pick / 2025
Tyrion Ingram-Dawkins,DT,Georgia,College Stats,5-Jun,276,4.86,36,,124,7.28,4.34,Minnesota Vikings / 5th / 139th pick / 2025
Ulysses Bentley IV,RB,Mississippi,College Stats,10-May,201,4.62,32.5,,117,,,
Jared Ivey,EDGE,Mississippi,College Stats,6-Jun,274,,,,,,,
Cam Jackson,DT,Florida,College Stats,6-Jun,328,5.17,24.5,,93,,,Carolina Panthers / 5th / 140th pick / 2025
Daniel Jackson,WR,Minnesota,College Stats,11-May,193,,,,,6.78,4.07,
Donovan Jackson,G,Ohio St.,College Stats,4-Jun,315,,,,,,,Minnesota Vikings / 1st / 24th pick / 2025
Ja'Quinden Jackson,RB,Arkansas,College Stats,2-Jun,229,,32,,119,7.19,4.36,
Landon Jackson,EDGE,Arkansas,College Stats,6-Jun,264,4.68,40.5,,129,,,Buffalo Bills / 3rd / 72nd pick / 2025
Jordan James,RB,Oregon,College Stats,10-May,205,4.55,,,117,,,San Francisco 49ers / 5th / 147th pick / 2025
Shemar James,LB,Florida,College Stats,1-Jun,222,4.69,32,,117,7.09,4.27,Dallas Cowboys / 5th / 152nd pick / 2025
Ashton Jeanty,RB,Boise St.,College Stats,9-May,211,,,,,,,Las Vegas Raiders / 1st / 6th pick / 2025
Kaleb Johnson,RB,Iowa,College Stats,1-Jun,224,4.57,,,,,,Pittsburgh Steelers / 3rd / 83rd pick / 2025
Tez Johnson,WR,Oregon,College Stats,10-May,154,4.51,37,,131,6.65,4.15,Tampa Bay Buccaneers / 7th / 235th pick / 2025
Will Johnson,CB,Michigan,College Stats,2-Jun,194,,,,,,,Arizona Cardinals / 2nd / 47th pick / 2025
Emery Jones,OT,LSU,College Stats,5-Jun,315,,,,,,,Baltimore Ravens / 3rd / 91st pick / 2025
Sai'vion Jones,EDGE,LSU,College Stats,5-Jun,280,,33,19,119,,,Denver Broncos / 3rd / 101st pick / 2025
Jah Joyner,EDGE,Minnesota,College Stats,4-Jun,262,4.6,30,,,7.33,4.68,
Kelvin Banks Jr.,OT,Texas,College Stats,5-Jun,315,5.16,32,,104,7.81,4.66,New Orleans Saints / 1st / 9th pick / 2025
Billy Bowman Jr.,SAF,Oklahoma,College Stats,10-May,192,4.42,35.5,17,123,,,Atlanta Falcons / 4th / 118th pick / 2025
Sam Brown Jr.,WR,Miami,College Stats,2-Jun,200,4.44,41.5,,,,,
Harold Fannin Jr.,TE,Bowling Green,College Stats,3-Jun,241,4.71,34,22,118,6.97,4.39,Cleveland Browns / 3rd / 67th pick / 2025
Jimmy Horn Jr.,WR,Colorado,College Stats,8-May,174,4.46,38,,128,,4.41,Carolina Panthers / 6th / 208th pick / 2025
Montrell Johnson Jr.,RB,Florida,College Stats,11-May,212,4.41,35.5,,123,,4.29,
Demetrius Knight Jr.,LB,South Carolina,College Stats,2-Jun,235,4.58,31.5,22,118,7.12,4.25,Cincinnati Bengals / 2nd / 49th pick / 2025
Jason Marshall Jr.,CB,Florida,College Stats,Jun-00,194,4.49,37.5,,125,,,Miami Dolphins / 5th / 150th pick / 2025
Chris Paul Jr.,LB,Mississippi,College Stats,1-Jun,222,4.63,36,,117,,,Los Angeles Rams / 5th / 172nd pick / 2025
James Pearce Jr.,EDGE,Tennessee,College Stats,5-Jun,245,4.47,31,,123,,,Atlanta Falcons / 1st / 26th pick / 2025
Shavon Revel Jr.,CB,East Carolina,College Stats,2-Jun,194,,,,,,,Dallas Cowboys / 3rd / 76th pick / 2025
Dont'e Thornton Jr.,WR,Tennessee,College Stats,5-Jun,205,4.3,33,,126,,,Las Vegas Raiders / 4th / 108th pick / 2025
Dante Trader Jr.,SAF,Maryland,College Stats,11-May,196,,31,12,117,7.09,4.32,Miami Dolphins / 5th / 155th pick / 2025
Antwane Wells Jr.,WR,Mississippi,College Stats,1-Jun,201,4.58,34,,124,,,
Kevin Winston Jr.,SAF,Penn St.,College Stats,2-Jun,215,,,,,,,Tennessee Titans / 3rd / 82nd pick / 2025
Quinshon Judkins,RB,Ohio St.,College Stats,Jun-00,221,4.48,38.5,,132,,,Cleveland Browns / 2nd / 36th pick / 2025
DeAndre Jules,DT,South Carolina,College Stats,4-Jun,316,,,,,,,
Luke Kandra,G,Cincinnati,College Stats,5-Jun,319,,,,,,,
Josh Kelly,WR,Texas Tech,College Stats,1-Jun,186,4.7,33,,121,7.02,,
Drew Kendall,C,Boston Col.,College Stats,4-Jun,308,5.05,,,,7.56,4.51,Philadelphia Eagles / 5th / 168th pick / 2025
Kyle Kennard,EDGE,South Carolina,College Stats,4-Jun,254,4.73,,23,,,,Los Angeles Chargers / 4th / 125th pick / 2025
Corey Kiner,RB,Cincinnati,College Stats,9-May,209,4.57,,19,,,,
Kobe King,LB,Penn St.,College Stats,1-Jun,236,,,,,,,Minnesota Vikings / 6th / 201st pick / 2025
Jack Kiser,LB,Notre Dame,College Stats,2-Jun,231,,,,,,,Jacksonville Jaguars / 4th / 107th pick / 2025
Bilhal Kone,CB,Western Michigan,College Stats,1-Jun,190,4.43,31.5,,124,,,Baltimore Ravens / 6th / 178th pick / 2025
Brant Kuithe,TE,Utah,College Stats,2-Jun,236,,,,,,,
Luke Lachey,TE,Iowa,College Stats,6-Jun,251,,35,,120,7.18,4.47,Houston Texans / 7th / 255th pick / 2025
KeAndre Lambert-Smith,WR,Auburn,College Stats,1-Jun,190,4.37,34.5,,124,,,Los Angeles Chargers / 5th / 158th pick / 2025
Joshua Lane,WR,Virginia Tech,College Stats,10-May,191,4.34,40,14,132,6.75,4.12,Washington Commanders / 4th / 128th pick / 2025
Riley Leonard,QB,Notre Dame,College Stats,4-Jun,216,,,,,,,Indianapolis Colts / 6th / 189th pick / 2025
Cody Lindenberg,LB,Minnesota,College Stats,2-Jun,236,,,,,,,Las Vegas Raiders / 7th / 222nd pick / 2025
Steve Linton,EDGE,Baylor,College Stats,4-Jun,242,,32.5,21,124,7.25,,
Robert Longerbeam,CB,Rutgers,College Stats,11-May,175,4.39,36.5,,134,,,
Tyler Loop,K,Arizona,College Stats,11-May,191,,,,,,,
Colston Loveland,TE,Michigan,College Stats,6-Jun,248,,,,,,,Chicago Bears / 1st / 10th pick / 2025
Dominic Lovett,WR,Georgia,College Stats,10-May,185,4.4,33.5,,120,,4.27,Detroit Lions / 7th / 244th pick / 2025
Chase Lundt,OT,Connecticut,College Stats,8-Jun,304,,,,,,,Buffalo Bills / 6th / 206th pick / 2025
Phil Mafah,RB,Clemson,College Stats,1-Jun,234,,,,,,,Dallas Cowboys / 7th / 239th pick / 2025
Jake Majors,C,Texas,College Stats,3-Jun,306,,,,,,,
Woody Marks,RB,USC,College Stats,10-May,207,4.54,35,18,119,,4.24,
Nickolas Martin,LB,Oklahoma St.,College Stats,Jun-00,221,4.53,38,26,123,,,San Francisco 49ers / 3rd / 75th pick / 2025
Sean Martin,EDGE,West Virginia,College Stats,6-Jun,293,4.88,28.5,28,112,7.38,,
Bam Martin-Scott,LB,South Carolina,College Stats,2-Jun,231,4.63,33.5,,122,7.26,4.53,
Damien Martinez,RB,Miami,College Stats,Jun-00,217,4.51,35,,124,,,Seattle Seahawks / 7th / 223rd pick / 2025
Moliki Matavao,TE,UCLA,College Stats,6-Jun,260,4.81,32.5,,114,,,New Orleans Saints / 7th / 248th pick / 2025
Francisco Mauigoa,LB,Miami,College Stats,2-Jun,233,4.6,35,,121,7.15,4.24,New York Jets / 5th / 162nd pick / 2025
Marcus Mbow,G,Purdue,College Stats,4-Jun,303,,,,,,4.67,New York Giants / 5th / 154th pick / 2025
Kyle McCord,QB,Syracuse,College Stats,3-Jun,218,,,,,,,Philadelphia Eagles / 6th / 181st pick / 2025
Bru McCoy,WR,Tennessee,College Stats,3-Jun,209,,,,,,,
Seth McLaughlin,C,Ohio St.,College Stats,4-Jun,304,,,,,,,
Jalen McLeod,LB,Auburn,College Stats,2-Jun,241,,,,,,,
Tetairoa McMillan,WR,Arizona,College Stats,4-Jun,219,,,,,,,Carolina Panthers / 1st / 8th pick / 2025
Decarrion McWilliams,CB,Central Florida,College Stats,10-May,191,4.41,34,,,,,Philadelphia Eagles / 5th / 145th pick / 2025
Kain Medrano,LB,UCLA,College Stats,3-Jun,222,4.46,38,,125,,,
Armand Membou,OT,Missouri,College Stats,4-Jun,332,4.91,34,,115,,,New York Jets / 1st / 7th pick / 2025
Graham Mertz,QB,Florida,College Stats,3-Jun,212,,,,,,,Houston Texans / 6th / 197th pick / 2025
R.J. Mickens,SAF,Clemson,College Stats,Jun-00,199,4.49,41.5,,121,,,Los Angeles Chargers / 6th / 214th pick / 2025
Rylie Mills,DT,Notre Dame,College Stats,5-Jun,291,,,,,,,
Jalen Milroe,QB,Alabama,College Stats,2-Jun,217,,,,,,,Seattle Seahawks / 3rd / 92nd pick / 2025
Wyatt Milum,OT,West Virginia,College Stats,7-Jun,313,5.27,30,,108,,4.69,Jacksonville Jaguars / 3rd / 89th pick / 2025
Kyle Monangai,RB,Rutgers,College Stats,8-May,211,4.6,34.5,,117,,,Chicago Bears / 7th / 233rd pick / 2025
Smael Mondon,LB,Georgia,College Stats,2-Jun,224,4.58,,,130,,,Philadelphia Eagles / 5th / 161st pick / 2025
Jonah Monheim,C,USC,College Stats,4-Jun,302,,,,,,,Jacksonville Jaguars / 7th / 221st pick / 2025
Malachi Moore,SAF,Alabama,College Stats,11-May,196,,,,,,,New York Jets / 4th / 130th pick / 2025
Benjamin Morrison,CB,Notre Dame,College Stats,Jun-00,193,,,,,,,Tampa Bay Buccaneers / 2nd / 53rd pick / 2025
Jabbar Muhammad,CB,Oregon,College Stats,9-May,182,,29.5,13,,7.01,4.19,
Andrew Mukuba,SAF,Texas,College Stats,11-May,186,4.45,,,,,,Philadelphia Eagles / 2nd / 64th pick / 2025
Kalel Mullings,RB,Michigan,College Stats,2-Jun,226,,,,,,,Tennessee Titans / 6th / 188th pick / 2025
Konata Mumpfield,WR,Pittsburgh,College Stats,11-May,186,4.59,36,,124,,,Los Angeles Rams / 7th / 242nd pick / 2025
Nick Nash,WR,San Jose St.,College Stats,3-Jun,203,4.57,34,,123,,,
Devin Neal,RB,Kansas,College Stats,11-May,213,4.58,37.5,,124,,,New Orleans Saints / 6th / 184th pick / 2025
Jack Nelson,OT,Wisconsin,College Stats,7-Jun,314,,,,,,,Atlanta Falcons / 7th / 218th pick / 2025
Bryson Nesbit,TE,North Carolina,College Stats,5-Jun,238,4.88,32.5,,112,,,
Isaiah Neyor,WR,Nebraska,College Stats,4-Jun,218,4.4,38,,133,,,
Jaylin Noel,WR,Iowa St.,College Stats,10-May,194,4.39,41.5,23,134,6.82,4.17,Houston Texans / 3rd / 79th pick / 2025
Walter Nolen,DT,Mississippi,College Stats,4-Jun,296,,,,,,,Arizona Cardinals / 1st / 16th pick / 2025
Omarr Norman-Lott,DT,Tennessee,College Stats,2-Jun,291,,31.5,,113,,,Kansas City Chiefs / 2nd / 63rd pick / 2025
Oluwafemi Oladejo,EDGE,UCLA,College Stats,3-Jun,259,,36.5,20,120,,,Tennessee Titans / 2nd / 52nd pick / 2025
Collin Oliver,EDGE,Oklahoma St.,College Stats,2-Jun,240,4.56,39,,126,,,Green Bay Packers / 5th / 159th pick / 2025
Robbie Ouzts,TE,Alabama,College Stats,3-Jun,274,4.91,34,26,119,7.34,4.45,Seattle Seahawks / 5th / 175th pick / 2025
Payton Page,DT,Clemson,College Stats,3-Jun,290,,33,,116,,,
Jacob Parrish,CB,Kansas St.,College Stats,10-May,191,4.35,37.5,12,129,,,Tampa Bay Buccaneers / 3rd / 84th pick / 2025
Aeneas Peebles,DT,Virginia Tech,College Stats,1-Jun,282,4.94,32.5,,109,,4.7,Baltimore Ravens / 6th / 210th pick / 2025
JJ Pegues,DT,Mississippi,College Stats,3-Jun,309,5.15,27.5,,,,,Las Vegas Raiders / 6th / 180th pick / 2025
Jordan Phillips,DT,Maryland,College Stats,2-Jun,312,,31,29,108,8.19,4.65,
Hollin Pierce,OT,Rutgers,College Stats,8-Jun,341,,,,,,,
Darien Porter,CB,Iowa St.,College Stats,3-Jun,195,4.3,36.5,,131,6.71,4.04,Las Vegas Raiders / 3rd / 68th pick / 2025
Tyreem Powell,LB,Rutgers,College Stats,5-Jun,239,,,,,,,
Antwaun Powell-Ryland,EDGE,Virginia Tech,College Stats,3-Jun,258,4.69,36.5,,124,,,Philadelphia Eagles / 6th / 209th pick / 2025
Kaden Prather,WR,Maryland,College Stats,4-Jun,204,4.46,30,,114,,,Buffalo Bills / 7th / 240th pick / 2025
