feature,mean_abs_shap,kind
DOM+,0.2602095356613104,base
Y/RR,0.25547386783743387,base
YAC/R,0.18194504803161535,base
EPA/P,0.10735914275423679,base
SpeedxBMI,0.1024154686822044,interaction
Breakout Age,0.1,base
Draft Capital,0.1,base
aDOT,0.053382479925653745,base
CTPRR,0.04815927154968397,base
UCTPRR,0.03868638081847322,base
Wide%xSlot%,0.03127426989108375,interaction
aYPTPA,0.029751283946003394,base
Drop Rate,0.012837091524159837,base
CC%,0.012054113311596079,base
