feature,mean_abs_shap,kind
DOM+,0.3600852388569291,base
EPA/P,0.16500219354209616,base
YAC/R,0.1635231479126331,base
Y/RR,0.16067528098340234,base
aDOT,0.11867399732167798,base
SpeedxBMI,0.102774623511803,interaction
Breakout Age,0.1,base
Draft Capital,0.1,base
aYPTPA,0.06048997943674723,base
Wide%xSlot%,0.04326605331915498,interaction
CTPRR,0.02346034192979996,base
CC%,0.006879867225683325,base
Drop Rate,0.006344525417884328,base
