Player,Bias,DOM+,EPA/P,Draft Capital,CTPRR,aYPTPA,Breakout Age,YAC/R,UCTPRR,Drop Rate,CC%,aDOT,Y/RR,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Grade,Actual_WR_Grade,Error
Javon Wims,8.1975,0.2819,0.2264,-1.8638,-0.0477,-0.0691,-1.0451,-0.3784,-0.0211,0.0133,0.0040,0.1066,0.0574,-0.0286,0.0063,-2.7356,-0.0223,5.4394,4.6100,0.8294
Rashad Greene,8.1975,0.3141,-0.2518,-0.8049,0.0069,0.0557,0.5854,0.0096,-0.0295,0.0100,0.0033,-0.0734,0.0075,0.0740,-0.0461,-0.1671,0.0279,8.0580,7.0600,0.9980
John Metchie III,8.1975,-0.0001,0.1659,1.3176,0.0043,0.1157,-0.1294,0.0655,-0.0029,0.0132,0.0040,0.0266,-0.1681,0.0683,-0.0201,1.4123,0.0482,9.6579,9.9500,-0.2921
Jimmy Horn Jr.,8.1975,-0.5824,0.2618,-1.6391,-0.0745,0.0309,0.6182,0.0331,-0.0115,0.0130,0.0035,-0.0624,-0.2393,0.1257,-0.0594,-1.6487,0.0663,6.6151,6.1300,0.4851
Jordan Addison,8.1975,0.0927,0.1216,2.2882,0.0075,-0.0651,0.5398,0.0525,0.0001,0.0135,0.0040,-0.0424,0.0512,-0.0527,0.1339,3.0636,0.0812,11.3425,11.1300,0.2125
Keith Mumphery,8.1975,-0.9256,-0.2494,-0.9668,0.0028,0.0643,-0.2343,-0.1833,-0.0239,0.0112,0.0026,0.0175,-0.2686,-0.0962,-0.0187,-2.7535,-0.1149,5.3292,5.1400,0.1892
Cornell Powell,8.1975,-0.3386,0.2138,-0.9077,0.0067,-0.0105,-1.0616,0.0033,0.0699,0.0145,0.0041,0.1145,-0.2015,-0.0165,-0.0086,-2.0931,-0.0251,6.0791,5.9400,0.1391
Amari Rodgers,8.1975,0.0183,-0.0037,1.3689,-0.0397,0.1506,-0.0018,0.5114,-0.0173,0.0128,0.0026,-0.0536,-0.0535,-0.0596,-0.0136,1.8950,-0.0732,10.0192,8.2900,1.7292
Tajae Sharpe,8.1975,0.1179,-0.2130,-0.8035,0.0056,0.1265,0.7435,-0.4250,-0.0311,0.0104,0.0026,0.0748,-0.0836,0.1190,-0.0018,-0.4749,0.1172,7.8400,7.3100,0.5300
Tyreek Hill,8.1975,-0.8467,-0.2084,-1.0354,0.0007,0.0775,1.4043,0.2298,-0.0375,0.0120,0.0047,0.0884,0.1780,0.1068,-0.1558,-0.1326,-0.0490,8.0160,8.4900,-0.4740
Isaiah Ford,8.1975,0.5748,-0.1592,-1.6653,0.0025,-0.0787,0.9270,-0.4954,-0.0395,0.0104,0.0042,0.0100,0.0276,0.1392,-0.0413,-0.8816,0.0979,7.4138,7.2800,0.1338
Christian Kirk,8.1975,0.2033,-0.1572,1.0956,0.0158,0.1624,0.6068,0.0599,-0.0144,0.0119,0.0033,-0.0316,-0.2939,-0.0621,-0.0570,1.6619,-0.1191,9.7403,9.8900,-0.1497
Xavier Worthy,8.1975,0.2137,-0.1968,2.1956,0.0096,0.0917,1.1698,0.0508,0.0002,0.0083,0.0053,0.0284,-0.3882,-0.5830,-0.0147,3.1884,-0.5977,10.7883,11.4200,-0.6317
Travis Hunter,8.1975,0.1766,0.3139,2.4297,0.0088,0.0492,0.3237,-0.1728,0.0136,0.0168,0.0049,0.0207,0.2905,0.1547,0.0820,3.4756,0.2367,11.9098,11.0700,0.8398
Jaxon Smith-Njigba,8.1975,0.3693,0.2556,2.4783,-0.1093,-0.1495,0.4395,0.1418,-0.0002,0.0177,0.0059,-0.0358,0.3931,0.0576,0.0034,3.8064,0.0610,12.0649,12.2500,-0.1851
Daniel Braverman,8.1975,0.2266,-0.2317,-2.1567,-0.0018,0.0584,-0.1790,-0.0115,-0.0373,0.0114,0.0026,-0.1036,0.2127,0.1304,0.0364,-2.2099,0.1668,6.1545,6.5100,-0.3555
Jaylin Noel,8.1975,0.3960,0.1496,0.6747,0.0168,0.0720,-0.0400,0.0441,0.0007,0.0143,0.0059,0.0056,0.0149,0.0241,-0.0035,1.3546,0.0206,9.5726,9.5200,0.0526
Wan'Dale Robinson,8.1975,0.5578,-0.2033,1.1715,-0.0140,-0.1512,0.3175,0.0340,-0.0607,0.0113,0.0042,-0.0387,0.2723,0.1319,-0.0334,1.9007,0.0985,10.1967,9.8100,0.3867
Miles Boykin,8.1975,0.0814,0.1530,0.6070,-0.0172,0.1410,-0.4136,-0.1300,-0.0152,0.0151,0.0044,0.2958,-0.4311,0.1476,-0.0111,0.2906,0.1365,8.6247,8.0200,0.6047
Equanimeous St. Brown,8.1975,0.2681,0.1816,-1.4881,0.0113,0.1978,0.4376,0.0133,-0.0424,0.0126,0.0044,0.0290,-0.0509,0.1238,-0.0413,-0.4257,0.0825,7.8543,8.6300,-0.7757
Deon Cain,8.1975,-0.3610,-0.0774,-1.9438,-0.0072,-0.0470,-0.2639,-0.0138,-0.0349,0.0117,0.0026,0.0804,-0.0276,0.0620,0.0213,-2.6819,0.0833,5.5988,7.7900,-2.1912
Jalen Nailor,8.1975,0.2342,0.0639,-1.7291,-0.0016,-0.0572,-0.3359,0.4803,-0.0425,0.0126,0.0028,0.0405,-0.0410,0.0622,-0.0873,-1.3730,-0.0251,6.7993,7.3600,-0.5607
Hunter Renfrow,8.1975,-1.0209,-0.1681,-1.0146,0.0044,0.0674,-0.3354,-0.4772,-0.0348,0.0093,0.0021,-0.0977,-0.2960,0.0430,0.0081,-3.3615,0.0511,4.8872,5.3900,-0.5028
Auden Tate,8.1975,-0.3342,0.1424,-2.0733,0.0211,-0.0798,-0.2762,-0.4655,0.0409,0.0138,0.0036,0.0460,-0.3029,-0.1130,-0.0073,-3.2641,-0.1203,4.8131,4.8300,-0.0169
Jacob Cowing,8.1975,0.2913,0.1133,-0.5066,0.0076,0.1204,0.6899,0.0442,-0.0015,-0.2016,-0.0195,-0.0142,-0.2804,0.1431,-0.0014,0.2429,0.1417,8.5820,7.9800,0.6020
