feature,tree_feature_importance,kind
DOM+,0.10734996681751176,base
Draft Capital,0.1,base
Breakout Age,0.1,base
Y/RR,0.0466722292948997,base
YAC/R,0.028518634590907133,base
EPA/P,0.018196155178465803,base
SpeedxBMI,0.01636619064321599,interaction
aYPTPA,0.013424713992858453,base
aDOT,0.013243089786160105,base
Wide%xSlot%,0.008369040274341266,interaction
UCTPRR,0.007981694240903144,base
CTPRR,0.0030560830701318394,base
Drop Rate,0.002242964443419095,base
CC%,0.0005765582005189866,base
