feature,importance
Draft Capital,0.6377088701862769
DOM+,0.10034054053038197
Breakout Age,0.09167751803708579
Y/RR,0.048960061079935994
Draft Age,0.043636438592089793
YAC/R,0.03230426893079083
SpeedxBMI,0.012221665957921075
EPA/P,0.00995065185624369
Wide%xSlot%,0.0068074650741111655
UCTPRR,0.005420055093108602
aDOT,0.005123193549156412
CTPRR,0.0031624901224447492
aYPTPA,0.002562101044176466
CC%,0.00012467994627661782
