feature,importance
Draft Capital,0.6413823652693763
Breakout Age,0.13492923512126376
Y/RR,0.0988816492569826
YAC/R,0.02883698550947226
SpeedxBMI,0.019861216842176153
aDOT,0.01691284061841265
aYPTPA,0.015337938106410444
EPA/P,0.014385041490375148
Wide%xSlot%,0.012952885695001227
UCTPRR,0.011860015019451563
CTPRR,0.004126000957911557
CC%,0.0005338261131661994
