Player,Bias,DOM+,CTPRR,Breakout Age,Y/RR,UCTPRR,CC%,Draft Capital,YAC/R,Drop Rate,aDOT,EPA/P,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Grade,Actual_WR_Grade,Error
Robert Davis,8.1889,0.0037,0.0168,1.2021,-0.1061,-0.0109,0.0014,-1.4505,0.1127,0.0033,0.0193,-0.0532,-0.0444,-0.0710,-0.2614,-0.1154,7.8122,8.3400,-0.5278
Kevin White,8.1889,0.5527,0.0099,-0.7471,0.0188,-0.0185,0.0042,2.3169,0.0929,0.0018,-0.1871,-0.3117,-0.0103,-0.0219,1.7328,-0.0322,9.8894,9.2200,0.6694
Savion Williams,8.1889,-0.3276,-0.0244,-1.1803,-0.2577,-0.0691,0.0014,0.5833,0.1180,0.0035,-0.1569,0.0954,-0.0215,-0.0348,-1.2144,-0.0563,6.9182,7.9600,-1.0418
Elijah Moore,8.1889,0.3569,0.0108,0.3947,0.1806,-0.0405,0.0042,1.1953,0.0352,0.0031,-0.0929,0.0298,0.1056,-0.0085,2.0772,0.0971,10.3633,10.8300,-0.4667
Justin Jefferson,8.1889,0.0751,-0.0264,0.3169,0.1342,-0.0427,0.0014,2.3087,0.1457,0.0032,0.1033,0.2478,0.0766,0.0610,3.2672,0.1376,11.5937,12.6100,-1.0163
Jauan Jennings,8.1889,0.6365,0.0737,-0.7516,0.1633,-0.0293,0.0040,-2.0194,0.1052,-0.0780,-0.1536,0.1929,-0.1949,-0.0065,-1.8563,-0.2014,6.1312,5.0600,1.0712
Dax Milne,8.1889,0.2300,0.0248,-0.3249,0.1021,-0.0699,0.0013,-1.8800,-0.0777,0.0026,0.1205,0.0675,0.1761,0.0856,-1.8037,0.2617,6.6471,6.5500,0.0971
Zay Flowers,8.1889,0.4247,-0.0327,0.3007,-0.1964,-0.0265,0.0042,2.2491,0.1528,0.0032,-0.1065,0.1691,0.1066,-0.0142,2.9417,0.0924,11.2229,10.4900,0.7329
Luther Burden III,8.1889,0.0670,-0.0135,0.2148,0.3000,-0.0396,0.0014,1.2170,0.1169,0.0041,-0.1399,0.2146,-0.0443,-0.0399,1.9428,-0.0842,10.0474,10.8700,-0.8226
Taywan Taylor,8.1889,0.0009,0.0134,-0.0924,0.1263,-0.0304,0.0014,0.5716,0.1422,0.0040,0.1010,0.0657,-0.3151,-0.0191,0.9037,-0.3342,8.7583,9.0500,-0.2917
Demario Douglas,8.1889,0.1789,-0.0193,-0.1951,0.0808,-0.0621,0.0014,-1.6724,0.1155,0.0036,-0.1217,0.2059,-0.0178,-0.0393,-1.4845,-0.0571,6.6472,6.9400,-0.2928
Curtis Samuel,8.1889,0.0391,0.0117,0.2904,0.0446,-0.0222,0.0013,1.1831,0.3584,0.0024,-0.1672,-0.1078,0.0954,-0.0193,1.6338,0.0761,9.8986,10.6200,-0.7214
Calvin Ridley,8.1889,0.4863,-0.0172,-0.1175,0.0252,-0.0264,0.0042,2.3718,0.1436,0.0018,-0.1274,-0.1698,0.0958,-0.0100,2.5746,0.0858,10.8494,11.5700,-0.7206
