Player,Bias,DOM+,Breakout Age,EPA/P,aYPTPA,CC%,YAC/R,aDOT,Y/RR,Draft Capital,Drop Rate,UCTPRR,CTPRR,SpeedxBMI,Wide%xSlot%,Base_SHAP_Sum,Interaction_SHAP_Sum,Predicted_WR_Grade,Actual_WR_Grade,Error
Aaron Burbridge,8.2381,0.4859,-0.4241,-0.1300,-0.0039,0.0036,-0.5200,-0.0293,0.0547,-1.5055,0.0039,-0.0124,-0.0417,-0.1571,0.0424,-2.1188,-0.1147,6.0044,5.6800,0.3244
Charlie Jones,8.2381,0.3447,-1.3883,0.0800,0.0298,-0.1032,-0.3707,-0.0996,0.3221,-0.3729,-0.1028,-0.0073,0.0795,0.1005,0.0042,-1.5887,0.1047,6.7540,6.2900,0.4640
Jalen Brooks,8.2381,-0.9535,-0.2979,-0.0529,0.0036,0.0037,0.0967,-0.0305,-0.5401,-2.2395,0.0036,0.0948,-0.0359,-0.1066,-0.0158,-3.9479,-0.1224,4.1679,3.8800,0.2879
Cornelius Johnson,8.2381,-0.0853,-0.2397,0.0986,0.0016,-0.0907,0.0853,-0.0374,-0.5516,-2.0905,0.0015,0.0503,-0.0334,0.0839,-0.0559,-2.8913,0.0280,5.3749,5.1700,0.2049
Kaelin Clay,8.2381,-0.0865,-1.3609,-0.1687,0.0033,0.0033,0.0481,-0.1816,-0.4928,-1.4808,0.0036,-0.0207,-0.0408,-0.1668,-0.0238,-3.7745,-0.1906,4.2731,3.6800,0.5931
Ainias Smith,8.2381,0.2093,0.4492,0.0887,-0.0558,-0.0799,0.1879,-0.0215,-0.0152,-0.7686,-0.1036,-0.0239,-0.0255,-0.1385,-0.0114,-0.1589,-0.1499,7.9292,7.6800,0.2492
Tyler Lockett,8.2381,0.4159,0.3060,-0.1423,-0.0086,0.0039,-0.3892,-0.0249,0.3988,0.4510,0.0045,-0.0152,-0.0422,0.0735,-0.0230,0.9577,0.0505,9.2463,8.7000,0.5463
Brandon Aiyuk,8.2381,0.2634,-0.2779,0.0803,-0.0311,0.0044,0.3250,-0.0281,0.2251,2.2499,0.0054,-0.0284,-0.0426,-0.1070,-0.0107,2.7454,-0.1177,10.8659,11.2100,-0.3441
Marvin Harrison Jr.,8.2381,0.2796,0.3108,0.0988,-0.0208,0.0048,0.0932,0.0197,0.3831,2.2637,0.0068,-0.0545,0.0888,0.0655,-0.0538,3.4740,0.0117,11.7237,12.7900,-1.0663
KeeSean Johnson,8.2381,0.1558,0.4898,-0.0979,-0.0656,0.0037,0.0789,-0.0205,0.2698,-1.3806,0.0057,-0.0442,0.0798,-0.0564,0.0088,-0.5253,-0.0476,7.6652,6.5700,1.0952
Kelvin Harmon,8.2381,0.1734,0.4937,0.1067,-0.0654,0.0042,-0.4088,0.0206,0.0223,-1.3029,0.0060,-0.0066,0.0680,-0.2034,-0.0563,-0.8888,-0.2597,7.0897,6.7400,0.3497
Eric McAlister,8.2381,0.3353,0.3803,-0.1268,0.0129,0.0037,0.4153,0.0215,0.1389,-0.8295,0.0040,0.0165,-0.0424,0.0686,0.0015,0.3297,0.0701,8.6378,8.5800,0.0578
