feature,mean_abs_shap,kind
DOM+,0.356614690945546,base
EPA/P,0.17319667785642628,base
YAC/R,0.15938284629114302,base
Y/RR,0.15898252288866993,base
aDOT,0.12485878406571874,base
SpeedxBMI,0.11095892342184113,interaction
Breakout Age,0.1,base
Draft Capital,0.1,base
Wide%xSlot%,0.04148387262993633,interaction
UCTPRR,0.0409414924385304,base
CTPRR,0.02260544523271598,base
Drop Rate,0.0075941872556498455,base
CC%,0.006860401787114816,base
