Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1.0,Chris Weinke,Florida State,ACC,12.0,266.0,431.0,61.7,4167.0,33.0,7.7,11.0,2.6,9.7,10.05,15.7,347.3,163.1,H-1
2.0,Jared Lorenzen,Kentucky,SEC,11.0,321.0,559.0,57.4,3687.0,19.0,3.4,21.0,3.8,6.6,5.58,11.5,335.2,116.5,
3.0,Kliff Kingsbury,Texas Tech,Big 12,12.0,362.0,585.0,61.9,3418.0,21.0,3.6,17.0,2.9,5.8,5.25,9.4,284.8,117.0,
4.0,Drew Brees,Purdue,Big Ten,11.0,286.0,473.0,60.5,3393.0,24.0,5.1,12.0,2.5,7.2,7.05,11.9,308.5,132.4,"H-3,Maxwell"
5.0,Josh Heupel,Oklahoma,Big 12,12.0,280.0,433.0,64.7,3392.0,20.0,4.6,14.0,3.2,7.8,7.3,12.1,282.7,139.2,"H-2,AA,Camp"
6.0,Bart Hendricks,Boise State,Big West,11.0,210.0,347.0,60.5,3364.0,35.0,10.1,8.0,2.3,9.7,10.67,16.0,305.8,170.6,
7.0,Byron Leftwich,Marshall,MAC,12.0,279.0,457.0,61.1,3358.0,21.0,4.6,9.0,2.0,7.3,7.38,12.0,279.8,134.0,
8.0,John Welsh,Idaho,Big West,11.0,251.0,399.0,62.9,3171.0,22.0,5.5,17.0,4.3,7.9,7.13,12.6,288.3,139.3,
9.0,Philip Rivers,North Carolina State,ACC,11.0,237.0,441.0,53.7,3054.0,25.0,5.7,10.0,2.3,6.9,7.04,12.9,277.6,126.1,
10.0,Timmy Chang,Hawaii,WAC,10.0,245.0,469.0,52.2,3041.0,19.0,4.1,19.0,4.1,6.5,5.47,12.4,304.1,112.0,
11.0,Carson Palmer,USC,Pac-10,12.0,228.0,415.0,54.9,2914.0,16.0,3.9,18.0,4.3,7.0,5.84,12.8,242.8,118.0,
12.0,George Godsey,Georgia Tech,ACC,11.0,222.0,349.0,63.6,2906.0,23.0,6.6,6.0,1.7,8.3,8.87,13.1,264.2,151.9,
