Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards
37.0,Nate Poole,Marshall,MAC,12.0,70.0,818.0,11.7,4.0,68.2,1.0,-4.0,-4.0,0.0,-0.3,71.0,814.0,11.5,4.0,
38.0,Roy Williams,Texas,Big 12,11.0,40.0,809.0,20.2,8.0,73.5,2.0,75.0,37.5,2.0,6.8,42.0,884.0,21.0,10.0,
39.0,J.R. Tolver,San Diego State,MWC,11.0,62.0,808.0,13.0,1.0,73.5,0.0,0.0,,0.0,0.0,62.0,808.0,13.0,1.0,
40.0,Kenny Christian,Eastern Michigan,MAC,10.0,78.0,808.0,10.4,3.0,80.8,3.0,-4.0,-1.3,0.0,-0.4,81.0,804.0,9.9,3.0,
41.0,Quentin McCord,Kentucky,SEC,11.0,45.0,799.0,17.8,6.0,72.6,2.0,14.0,7.0,0.0,1.3,47.0,813.0,17.3,6.0,
42.0,Kareem Kelly,USC,Pac-10,11.0,55.0,796.0,14.5,4.0,72.4,5.0,8.0,1.6,0.0,0.7,60.0,804.0,13.4,4.0,
43.0,Lou Fanucchi,Boise State,Big West,11.0,40.0,796.0,19.9,8.0,72.4,1.0,0.0,0.0,0.0,0.0,41.0,796.0,19.4,8.0,
44.0,Justin Colbert,Hawaii,WAC,12.0,63.0,795.0,12.6,3.0,66.3,0.0,0.0,,0.0,0.0,63.0,795.0,12.6,3.0,
45.0,Rashied Davis,San Jose State,WAC,12.0,40.0,785.0,19.6,6.0,65.4,1.0,-5.0,-5.0,1.0,-0.4,41.0,780.0,19.0,7.0,
46.0,Derrick Lewis,San Diego State,MWC,11.0,31.0,782.0,25.2,3.0,71.1,3.0,20.0,6.7,0.0,1.8,34.0,802.0,23.6,3.0,
47.0,Jake Schifino,Akron,MAC,11.0,42.0,778.0,18.5,4.0,70.7,4.0,32.0,8.0,0.0,2.9,46.0,810.0,17.6,4.0,
