Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
1.0,Bryant Moniz,Hawaii,WAC,14.0,361.0,555.0,65.0,5040.0,39.0,7.0,15.0,2.7,9.1,9.27,14.0,360.0,159.1,
2.0,Landry Jones,Oklahoma,Big 12,14.0,405.0,617.0,65.6,4718.0,38.0,6.2,12.0,1.9,7.6,8.0,11.6,337.0,146.3,
3.0,Brandon Weeden,Oklahoma State,Big 12,13.0,342.0,511.0,66.9,4277.0,34.0,6.7,13.0,2.5,8.4,8.56,12.5,329.0,154.1,
4.0,Dominique Davis,East Carolina,CUSA,13.0,393.0,609.0,64.5,3967.0,37.0,6.1,16.0,2.6,6.5,6.55,10.1,305.2,134.0,
5.0,Ryan Mallett,Arkansas,SEC,13.0,266.0,411.0,64.7,3869.0,32.0,7.8,12.0,2.9,9.4,9.66,14.5,297.6,163.6,H-7
6.0,Kellen Moore,Boise State,WAC,13.0,273.0,383.0,71.3,3845.0,35.0,9.1,6.0,1.6,10.0,11.16,14.1,295.8,182.6,H-4
7.0,Ryan Lindley,San Diego State,MWC,13.0,243.0,421.0,57.7,3830.0,28.0,6.7,14.0,3.3,9.1,8.93,15.8,294.6,149.4,
8.0,Kyle Padron,SMU,CUSA,14.0,302.0,508.0,59.4,3828.0,31.0,6.1,14.0,2.8,7.5,7.52,12.7,273.4,137.4,
9.0,Corey Robinson,Troy,Sun Belt,13.0,321.0,505.0,63.6,3726.0,28.0,5.5,15.0,3.0,7.4,7.15,11.6,286.6,137.9,
10.0,Taylor Potts,Texas Tech,Big 12,13.0,369.0,551.0,67.0,3726.0,35.0,6.4,10.0,1.8,6.8,7.22,10.1,286.6,141.1,
11.0,G.J. Kinne,Tulsa,CUSA,13.0,275.0,460.0,59.8,3650.0,31.0,6.7,10.0,2.2,7.9,8.3,13.3,280.8,144.3,
12.0,Russell Wilson,North Carolina State,ACC,13.0,308.0,527.0,58.4,3563.0,28.0,5.3,14.0,2.7,6.8,6.63,11.6,274.1,127.5,
13.0,Robert Griffin III,Baylor,Big 12,13.0,304.0,454.0,67.0,3501.0,22.0,4.8,8.0,1.8,7.7,7.89,11.5,269.3,144.2,
14.0,T.J. Yates,North Carolina,ACC,13.0,282.0,422.0,66.8,3418.0,19.0,4.5,9.0,2.1,8.1,8.04,12.1,262.9,145.5,
15.0,Ryan Radcliff,Central Michigan,MAC,12.0,282.0,466.0,60.5,3358.0,17.0,3.6,17.0,3.6,7.2,6.29,11.9,279.8,125.8,
16.0,Andrew Luck,Stanford,Pac-10,13.0,263.0,372.0,70.7,3338.0,32.0,8.6,8.0,2.2,9.0,9.73,12.7,256.8,170.2,H-2
17.0,Alex Carder,Western Michigan,MAC,12.0,289.0,458.0,63.1,3334.0,30.0,6.6,12.0,2.6,7.3,7.41,11.5,277.8,140.6,
18.0,Nathan Enderle,Idaho,WAC,13.0,271.0,478.0,56.7,3314.0,22.0,4.6,16.0,3.3,6.9,6.35,12.2,254.9,123.4,
19.0,Ben Chappell,Indiana,Big Ten,12.0,302.0,483.0,62.5,3295.0,24.0,5.0,9.0,1.9,6.8,6.98,10.9,274.6,132.5,
20.0,Nick Foles,Arizona,Pac-10,11.0,286.0,426.0,67.1,3191.0,20.0,4.7,10.0,2.3,7.5,7.37,11.2,290.1,140.9,
21.0,Blaine Gabbert,Missouri,Big 12,13.0,301.0,475.0,63.4,3186.0,16.0,3.4,9.0,1.9,6.7,6.53,10.6,245.1,127.0,
22.0,Mike Hartline,Kentucky,SEC,12.0,268.0,405.0,66.2,3178.0,23.0,5.7,9.0,2.2,7.8,7.98,11.9,264.8,146.4,
23.0,Sean Renfree,Duke,ACC,12.0,285.0,464.0,61.4,3131.0,14.0,3.0,17.0,3.7,6.7,5.7,11.0,260.9,120.7,
24.0,Austin Davis,Southern Mississippi,CUSA,13.0,278.0,442.0,62.9,3103.0,20.0,4.5,6.0,1.4,7.0,7.31,11.2,238.7,134.1,
25.0,Stephen Garcia,South Carolina,SEC,14.0,224.0,349.0,64.2,3059.0,20.0,5.7,14.0,4.0,8.8,8.11,13.7,218.5,148.7,
26.0,Aaron Murray,Georgia,SEC,13.0,209.0,342.0,61.1,3049.0,24.0,7.0,8.0,2.3,8.9,9.27,14.6,234.5,154.5,
27.0,Colin Kaepernick,Nevada,WAC,14.0,233.0,359.0,64.9,3022.0,21.0,5.8,8.0,2.2,8.4,8.58,13.0,215.9,150.5,H-8
28.0,Ricky Stanzi,Iowa,Big Ten,13.0,221.0,345.0,64.1,3004.0,25.0,7.2,6.0,1.7,8.7,9.37,13.6,231.1,157.6,
29.0,Greg McElroy,Alabama,SEC,13.0,222.0,313.0,70.9,2987.0,20.0,6.4,5.0,1.6,9.5,10.1,13.5,229.8,169.0,
30.0,Bryan Ellis,UAB,CUSA,11.0,231.0,411.0,56.2,2940.0,25.0,6.1,12.0,2.9,7.2,7.06,12.7,267.3,130.5,
31.0,Ryan Aplin,Arkansas State,Sun Belt,12.0,252.0,410.0,61.5,2939.0,21.0,5.1,11.0,2.7,7.2,6.99,11.7,244.9,133.2,
32.0,Zach Collaros,Cincinnati,Big East,11.0,225.0,383.0,58.7,2902.0,26.0,6.8,14.0,3.7,7.6,7.29,12.9,263.8,137.5,
33.0,Darron Thomas,Oregon,Pac-10,13.0,222.0,361.0,61.5,2881.0,30.0,8.3,9.0,2.5,8.0,8.52,13.0,221.6,151.0,
34.0,Jordan La Secla,San Jose State,WAC,13.0,231.0,391.0,59.1,2860.0,16.0,4.1,16.0,4.1,7.3,6.29,12.4,220.0,125.8,
35.0,Andy Dalton,Texas Christian,MWC,13.0,209.0,316.0,66.1,2857.0,27.0,8.5,6.0,1.9,9.0,9.9,13.7,219.8,166.5,H-9
36.0,Cam Newton,Auburn,SEC,14.0,185.0,280.0,66.1,2854.0,30.0,10.7,7.0,2.5,10.2,11.21,15.4,203.9,182.0,"H-1,Maxwell,AA,Camp"
37.0,Kirk Cousins,Michigan State,Big Ten,13.0,226.0,338.0,66.9,2825.0,20.0,5.9,10.0,3.0,8.4,8.21,12.5,217.3,150.7,
38.0,Ryan Colburn,Fresno State,WAC,13.0,227.0,360.0,63.1,2817.0,23.0,6.4,9.0,2.5,7.8,7.98,12.4,216.7,144.9,
39.0,Marc Verica,Virginia,ACC,12.0,233.0,396.0,58.8,2799.0,14.0,3.5,14.0,3.5,7.1,6.18,12.0,233.3,122.8,
40.0,Matt Barkley,USC,Pac-10,12.0,236.0,377.0,62.6,2791.0,26.0,6.9,12.0,3.2,7.4,7.35,11.8,232.6,141.2,
41.0,Jeff Tuel,Washington State,Pac-10,12.0,219.0,366.0,59.8,2780.0,18.0,4.9,12.0,3.3,7.6,7.1,12.7,231.7,133.3,
42.0,Terrelle Pryor,Ohio State,Big Ten,13.0,210.0,323.0,65.0,2772.0,27.0,8.4,11.0,3.4,8.6,8.72,13.2,213.2,157.9,
43.0,Geno Smith,West Virginia,Big East,13.0,241.0,372.0,64.8,2763.0,24.0,6.5,7.0,1.9,7.4,7.87,11.5,212.5,144.7,
44.0,Trevor Vittatoe,UTEP,CUSA,13.0,220.0,407.0,54.1,2756.0,22.0,5.4,13.0,3.2,6.8,6.42,12.5,212.0,122.4,
45.0,Garrett Gilbert,Texas,Big 12,12.0,260.0,441.0,59.0,2744.0,10.0,2.3,17.0,3.9,6.2,4.94,10.6,228.7,111.0,
46.0,Tyrod Taylor,Virginia Tech,ACC,14.0,188.0,315.0,59.7,2743.0,24.0,7.6,5.0,1.6,8.7,9.52,14.6,195.9,154.8,
